H2O CP.txt
Density mol/dm3  T / K   CP
55.501412   289.995851    75.400285
55.543531   284.997115    75.400285
55.564606   279.998352    75.500285
55.561683   274.999561    75.400285
55.531263   270.000737    76.200288
55.531263   270.000737    75.900286
55.469186   265.001877    76.600289
55.469186   265.001877    75.700286
55.469186   265.001877    76.400288
55.370499   260.002979    77.500293
55.370499   260.002979    77.300292
55.370499   260.002979    76.900290
55.229293   255.004039    78.300296
55.229293   255.004039    79.500300
55.229293   255.004039    78.700297
55.038512   250.005054    80.600304
55.038512   250.005054    82.200310
55.038512   250.005054    81.400307
54.789745   245.006022    84.400319
54.789745   245.006022    84.500319
54.608559   242.006580    88.400334
54.472976   240.006941    92.700350
54.472976   240.006941    92.700350
54.472976   240.006941    91.400345
54.400453   239.007119    94.400356
54.324637   238.007294    96.600365
54.324637   238.007294    96.800365
54.324637   238.007294    96.100363
54.245419   237.007468    98.700373
54.162688   236.007639    102.200386
60.016255   298.844000    66.314202
63.391393   299.144000    66.674507
65.797642   299.144000    69.016492
67.898037   299.044000    69.376797
67.057454   299.544000    69.556950
67.433763   299.544000    69.556950
67.528547   299.944000    70.097408
68.812923   300.144000    73.161805
69.077206   300.144000    74.242721
0.412748   587.185448    40.880246
0.384578   626.185839    39.900216
0.371870   645.983414    39.748887
2.103301   641.084131    63.132705
2.100535   641.584071    63.357896
2.098881   641.884035    63.057041
2.098331   641.984023    63.057041
2.098331   641.984023    63.057041
2.092853   642.983899    62.529194
2.090131   643.483837    62.529194
2.086341   644.183648    62.075209
1.947818   672.777712    55.061865
1.822252   704.568582    50.685957
1.732704   731.360326    48.423239
1.633099   765.951022    46.612704
1.569582   791.048740    45.784002
1.488090   827.251399    45.256155
3.202078   672.477773    74.067973
3.202078   672.477773    74.067973
3.194975   673.177630    73.615790
2.973424   698.070593    63.961408
2.967149   698.870375    63.734415
2.821230   719.164058    58.832461
2.707078   737.558376    55.814903
2.697819   739.157912    55.514048
2.545524   768.050523    52.496491
2.536863   769.850138    52.420827
2.408886   798.648169    50.610292
2.313195   823.150233    49.026750
40.767145   613.246532    90.360981
25.345260   646.993179    99.260524
33.779023   676.136811    110.649776
31.355562   692.292315    119.551120
29.690228   702.399298    125.887090
28.308145   710.506740    130.940372
24.391776   734.839227    143.988831
23.879283   738.438166    145.120190
23.450737   741.557259    145.799365
23.030974   744.716323    146.024556
22.501652   748.855217    145.723701
22.049552   752.534161    145.120190
21.332567   758.652680    143.687976
21.325740   758.712657    143.460984
19.205486   778.969651    132.523914
18.035854   791.598631    123.170387
17.598422   796.608336    119.626784
17.594129   796.658317    119.702448
15.476442   823.560289    101.901562
14.071133   844.749892    91.416676
12.438039   875.189276    80.254416
41.510182   612.656564    87.795607
28.433221   633.055211    90.737500
26.075461   649.572823    94.735088
36.897820   661.670313    97.601317
35.067489   677.956418    102.202417
33.101689   693.921894    107.634020
30.816946   711.086565    114.119517
28.625706   726.991602    119.927639
26.956808   739.417820    123.849563
25.076010   754.503730    127.018449
24.808896   756.783080    127.243639
24.800769   756.853054    127.546296
24.497405   759.492464    127.394968
23.784159   765.920933    127.319304
23.720496   766.510809    127.771487
23.353009   769.970092    127.394968
23.239278   771.059876    127.621960
22.736557   775.989891    126.564464
22.117990   782.319469    125.433105
21.262718   791.578639    122.114693
21.204730   792.228592    121.813838
20.181848   804.178004    116.760555
18.646675   823.950352    107.407028
17.199031   844.909939    97.903974
17.197723   844.930032    97.828310
15.403455   874.989041    86.891241
42.063559   613.546515    86.136401
27.823208   635.654844    88.853103
38.351506   656.831424    92.020187
36.277166   677.856440    96.696951
34.274643   696.521109    101.071058
32.271790   714.065657    105.068646
29.917972   734.069494    109.821074
25.784630   771.419839    115.930051
23.429489   796.628329    114.346509
22.167196   811.978335    110.876768
20.444696   835.424598    103.485104
40.241419   578.584000    104.012951
38.935110   589.196000    112.085593
38.214300   594.386000    117.895517
37.813521   597.067000    121.741777
37.692622   597.847000    122.572280
37.648868   598.126000    123.100128
37.511776   598.486000    144.522083
37.331982   599.586000    139.769655
3.055154   602.286000    129.210907
2.983665   607.486000    114.200585
2.768714   626.486000    85.615760
2.582151   648.033000    70.836034
41.033592   577.584000    97.903974
38.871721   596.616000    108.089806
36.090258   615.157000    130.043212
