"T [C]","P [bar]",0.1,0.25,0.5,0.75,1,2,3,4,5,6
0,1.0,1.93,3.69,5.99,7.92,9.63,15.12,19.19,22.18,24.23,25.39
10,1.0,1.57,2.81,4.42,5.76,6.94,10.81,13.79,16.12,17.87,19.08
20,1.0,1.42,2.43,3.69,4.73,5.66,8.71,11.12,13.07,14.62,15.81
25,1.0,1.39,2.33,3.48,4.44,5.28,8.07,10.29,12.11,13.59,14.76
30,1.0,1.38,2.27,3.35,4.23,5.01,7.6,9.67,11.38,12.8,13.95
40,1.0,1.4,2.22,3.21,4.0,4.7,7.01,8.86,10.42,11.74,12.83
50,1.0,1.45,2.26,3.19,3.94,4.59,6.72,8.44,9.89,11.13,12.17
60,1.0,1.52,2.34,3.25,3.98,4.61,6.65,8.28,9.66,10.83,11.83
70,1.0,1.62,2.46,3.39,4.11,4.73,6.72,8.31,9.65,10.8,11.8
80,1.0,1.74,2.62,3.57,4.31,4.93,6.91,8.48,9.8,10.94,11.92
90,1.0,1.89,2.81,3.81,4.56,5.2,7.21,8.79,10.11,11.24,12.21
100,1.0,2.05,3.04,4.1,4.88,5.55,7.51,9.21,10.54,11.68,12.66
110,1.4,2.24,3.31,4.43,5.27,5.96,8.11,9.75,11.11,12.27,13.26
120,2.0,2.45,3.61,4.82,5.71,6.45,8.7,10.41,11.82,13.0,14.02
130,2.7,2.69,3.96,5.27,6.23,7.02,9.41,11.19,12.66,13.89,14.94
140,3.6,2.97,4.36,5.79,6.83,7.68,10.22,12.11,13.65,14.94,16.03
150,4.8,3.29,4.82,6.39,7.52,8.44,11.18,13.19,14.81,16.16,17.31
160,6.2,3.66,5.36,7.03,8.32,9.33,12.28,14.43,16.15,17.58,18.79
170,7.9,4.09,5.98,7.89,9.26,10.36,13.57,15.88,17.71,19.23,20.51
180,10.0,4.59,6.71,8.85,10.36,11.57,15.08,17.57,19.53,21.15,22.5
190,12.5,5.19,7.59,9.93,11.66,13.01,16.85,19.55,21.67,23.39,24.82
200,15.5,5.91,8.63,11.33,13.22,14.73,18.98,21.92,24.19,26.04,27.56
210,19.1,6.79,9.91,12.99,15.13,16.81,21.54,24.76,27.22,29.2,30.82
220,23.2,7.89,11.49,15.03,17.47,19.39,24.59,28.23,30.91,33.03,34.75
230,28.0,9.26,13.47,17.59,20.41,22.61,28.51,32.55,35.48,37.77,39.59
240,33.4,11.02,16.02,20.87,24.11,26.73,33.51,38.03,41.26,43.74,45.69
250,39.7,13.32,19.35,25.15,29.08,32.11,40.11,45.14,48.75,51.46,53.54
260,46.9,16.4,23.79,30.89,35.65,39.28,48.79,54.62,58.7,61.71,63.97
270,55.0,20.63,29.9,38.74,44.65,49.13,60.57,67.6,72.34,75.75,78.24
280,64.1,26.59,38.51,49.84,57.35,63.02,77.47,85.95,91.63,95.61,98.44
290,74.4,35.28,51.06,66.02,75.89,83.31,102.02,112.82,119.91,124.78,128.15
300,85.8,48.42,70.06,90.52,103.99,114.09,139.36,153.77,163.11,169.43,173.72
0,200.0,1.82,3.41,5.46,7.14,8.6,13.2,16.51,18.89,20.44,21.24
10,200.0,1.48,2.62,4.06,5.25,6.28,9.62,12.15,14.1,15.56,16.57
20,200.0,1.35,2.28,3.42,4.36,5.18,7.87,9.97,11.68,13.05,14.11
25,200.0,1.32,2.19,3.24,4.1,4.86,7.33,9.3,10.92,12.24,13.3
30,200.0,1.31,2.13,3.12,3.92,4.63,6.94,8.79,10.34,11.62,12.68
40,200.0,1.32,2.09,3.0,3.72,4.36,6.45,8.14,9.56,10.78,11.81
50,200.0,1.37,2.12,2.98,3.67,4.27,6.22,7.8,9.14,10.29,11.29
60,200.0,1.44,2.19,3.04,3.71,4.29,6.16,7.67,8.95,10.06,11.02
70,200.0,1.52,2.3,3.16,3.83,4.4,6.23,7.69,8.94,10.01,10.94
80,200.0,1.63,2.44,3.33,4.0,4.58,6.41,7.85,9.08,10.13,11.03
90,200.0,1.75,2.61,3.53,4.23,4.82,6.68,8.13,9.34,10.39,11.28
100,200.0,1.9,2.81,3.78,4.51,5.12,7.03,8.51,9.74,10.78,11.68
110,200.0,2.06,3.04,4.07,4.84,5.48,7.46,8.99,10.24,11.31,12.21
120,200.0,2.24,3.3,4.4,5.22,5.9,7.98,9.57,10.87,11.96,12.89
130,200.0,2.44,3.59,4.78,5.66,6.38,8.59,10.26,11.61,12.75,13.71
140,200.0,2.66,3.92,5.21,6.16,6.94,9.29,11.06,12.49,13.68,14.69
150,200.0,2.92,4.29,5.7,6.73,7.57,10.1,11.98,13.5,14.76,15.82
160,200.0,3.21,4.72,6.26,7.37,8.29,11.02,13.03,14.66,16.0,17.13
