,T [C],P [bar],b [mol/kg],gamma[-],phi [-],Sx/R [-],Hx/RT [-],Cp_x/R [-],rho [g/cm^3],s [J/g.K],h [J/g]
0,0,1.0,0.1,0.78,0.932,0.366,0.005,1.93,1.00429,3.513,-1985.7
1,10,1.0,0.1,0.78,0.933,0.428,0.065,1.57,1.00402,3.663,-1944.1
2,20,1.0,0.1,0.779,0.933,0.479,0.114,1.42,1.00239,3.807,-1902.6
3,25,1.0,0.1,0.778,0.933,0.503,0.135,1.39,1.00117,3.878,-1881.8
4,30,1.0,0.1,0.777,0.932,0.526,0.156,1.38,0.99972,3.947,-1861.1
5,40,1.0,0.1,0.774,0.932,0.571,0.195,1.4,0.99622,4.081,-1819.5
6,50,1.0,0.1,0.77,0.931,0.616,0.233,1.45,0.992,4.212,-1778.0
7,60,1.0,0.1,0.767,0.929,0.661,0.271,1.52,0.98715,4.338,-1736.5
8,60,1.0,0.1,0.767,0.929,0.661,0.271,1.52,0.98715,4.581,-1736.5
9,70,1.0,0.1,0.762,0.928,0.707,0.308,1.62,0.98171,4.461,-1694.9
10,90,1.0,0.1,0.752,0.924,0.806,0.388,1.89,0.9693,4.697,-1611.6
11,100,1.0,0.1,0.746,0.922,0.86,0.43,2.05,0.96237,4.811,-1569.8
12,110,1.4,0.1,0.74,0.92,0.916,0.475,2.24,0.95501,4.922,-1527.8
13,120,2.0,0.1,0.733,0.917,0.976,0.522,2.45,0.94723,5.03,-1485.7
14,130,2.7,0.1,0.726,0.914,1.041,0.573,2.69,0.93901,5.136,-1443.4
15,140,3.6,0.1,0.719,0.912,1.11,0.627,2.97,0.93039,5.24,-1400.9
16,150,4.8,0.1,0.711,0.908,1.184,0.686,3.29,0.92134,5.342,-1358.2
17,160,6.2,0.1,0.703,0.905,1.265,0.75,3.66,0.91188,5.442,-1315.2
18,170,7.9,0.1,0.694,0.901,1.352,0.819,4.09,0.90198,5.54,-1272.0
19,180,10.0,0.1,0.685,0.897,1.448,0.896,4.59,0.89165,5.637,-1228.4
20,190,12.5,0.1,0.675,0.893,1.553,0.981,5.19,0.88086,5.732,-1184.4
21,200,15.5,0.1,0.665,0.889,1.669,1.075,5.91,0.86958,5.826,-1140.1
22,210,19.1,0.1,0.654,0.884,1.799,1.182,6.79,0.8578,5.919,-1095.3
23,220,23.2,0.1,0.643,0.879,1.945,1.303,7.89,0.84548,6.011,-1049.9
24,230,28.0,0.1,0.631,0.873,2.11,1.442,9.26,0.83258,6.102,-1004.0
