,T [C],P [bar],S_sol/R [-],H_sol/RT [-]
0,0,1,7.031,3.607
1,10,1,6.148,2.613
2,20,1,5.49,1.877
3,25,1,5.207,1.566
4,30,1,4.945,1.28
5,40,1,4.466,0.768
6,50,1,4.028,0.313
7,60,1,3.614,-0.104
8,70,1,3.219,-0.491
9,80,1,2.822,-0.869
10,90,1,2.421,-1.24
11,100,1,2.012,-1.611
12,110,1.4,1.59,-1.985
13,120,2,1.152,-2.367
14,130,2.7,0.693,-2.762
15,140,3.6,0.211,-3.172
16,150,4.8,-0.298,-3.601
17,160,6.2,-0.839,-4.053
18,170,7.9,-1.416,-4.533
19,180,10,-2.033,-5.045
20,200,15.5,-3.415,-6.188
21,210,19.1,-4.195,-6.836
22,220,23.2,-5.049,-7.546
23,230,28,-5.991,-8.333
24,240,33.4,-7.038,-9.214
25,260,46.9,-9.559,-11.36
26,270,55,-11.114,-12.704
27,280,64.1,-12.952,-14.311
28,290,74.4,-15.178,-16.285
29,300,85.8,-17.961,-18.788
30,0,200,6.533,2.995
31,10,200,5.817,2.186
32,20,200,5.266,1.57
33,25,200,5.025,1.304
34,30,200,4.798,1.057
35,40,200,4.378,0.61
36,50,200,3.988,0.207
37,60,200,3.617,-0.165
38,70,200,3.255,-0.517
39,80,200,2.897,-0.856
40,90,200,2.535,-1.19
41,100,200,2.165,-1.524
42,110,200,1.782,-1.862
43,120,200,1.385,-2.208
44,130,200,0.968,-2.565
45,140,200,0.53,-2.936
46,150,200,0.067,-3.325
47,160,200,-0.423,-3.733
48,170,200,-0.945,-4.166
49,180,200,-1.503,-4.625
50,200,200,-2.743,-5.645
51,210,200,-3.438,-6.217
52,220,200,-4.193,-6.838
53,230,200,-5.018,-7.52
54,240,200,-5.925,-8.272
55,260,200,-8.062,-10.061
56,270,200,-9.347,-11.149
57,280,200,-10.835,-12.423
58,290,200,-12.598,-13.951
59,300,200,-14.756,-15.847
60,0,400,6.106,2.464
61,10,400,5.528,1.808
62,20,400,5.068,1.293
63,25,400,4.861,1.066
64,30,400,4.665,0.853
65,40,400,4.296,0.462
66,50,400,3.949,0.106
67,60,400,3.617,-0.225
68,70,400,3.291,-0.541
69,80,400,2.968,-0.844
70,90,400,2.642,-1.144
71,100,400,2.307,-1.444
72,110,400,1.96,-1.75
73,120,400,1.599,-2.063
74,130,400,1.221,-2.386
75,140,400,0.823,-2.722
76,150,400,0.403,-3.073
77,160,400,-0.041,-3.443
78,170,400,-0.513,-3.832
79,180,400,-1.015,-4.245
