"T [°c]","P [bar]","m=0.1 [mol/kg]","m=0.25 [mol/kg]","m=0.5 [mol/kg]","m=0.75 [mol/kg]","m=1.0 [mol/kg]","m=2.0 [mol/kg]","m=3.0 [mol/kg]","m=4.0 [mol/kg]","m=5.0 [mol/kg]","m=6.0 [mol/kg]"
0,1,3.513,3.507,3.492,3.475,3.457,3.376,3.289,3.202,3.117,3.036
10,1,3.663,3.654,3.637,3.617,3.591,3.508,3.416,3.325,3.236,3.152
20,1,3.807,3.797,3.777,3.755,3.732,3.637,3.539,3.444,3.352,3.265
25,1,3.878,3.866,3.845,3.822,3.798,3.699,3.6,3.502,3.409,3.321
30,1,3.947,3.935,3.912,3.888,3.864,3.761,3.659,3.559,3.465,3.375
40,1,4.081,4.068,4.043,4.016,3.991,3.862,3.775,3.671,3.573,3.481
50,1,4.212,4.197,4.171,4.143,4.114,3.999,3.887,3.78,3.679,3.584
60,1,4.338,4.323,4.294,4.264,4.234,4.113,3.996,3.865,3.781,3.663
70,1,4.461,4.444,4.414,4.362,4.35,4.224,4.102,3.987,3.86,3.76
60,1,4.581,4.563,4.53,4.497,4.463,4.331,4.205,4.086,3.976,3.873
90,1,4.697,4.678,4.644,4.609,4.574,4.436,4.305,4.183,4.069,3.964
100,1,4.811,4.79,4.754,4.718,4.681,4.538,4.402,4.277,4.16,4.052
110,1.4,4.922,4.9,4.862,4.824,4.786,4.637,4.497,4.368,4.248,4.138
120,2,5.03,5.007,4.968,4.928,4.888,4.734,4.59,4.457,4.335,4.222
130,2.7,5.136,5.112,5.071,5.029,4.988,4.828,4.68,4.544,4.418,4.303
140,3.6,5.24,5.215,5.172,5.128,5.086,4.921,4.768,4.629,4.5,4.383
150,4.8,5.342,5.316,5.271,5.226,5.181,5.011,4.855,4.711,4.58,4.46
160,6.2,5.442,5.414,5.368,5.321,5.275,5.1,4.939,4.792,4.658,4.536
170,7.9,5.54,5.512,5.463,5.415,5.367,5.186,5.021,4.871,4.734,4.61
180,10,5.637,5.607,5.557,5.507,5.458,5.271,5.102,4.949,4.809,4.682
190,12.5,5.732,5.701,5.649,5.597,5.546,5.355,5.181,5.024,4.882,4.753
200,15.5,5.826,5.794,5.74,5.686,5.634,5.437,5.259,5.099,4.954,4.822
210,19.1,5.919,5.885,5.829,5.714,5.72,5.517,5.335,5.172,5.024,4.89
220,23.2,6.011,5.976,5.918,5.861,5.805,5.597,5.41,5.243,5.092,4.956
230,28,6.102,6.066,6.005,5.946,5.889,5.675,5.484,5.313,5.16,5.021
240,33.4,6.193,6.155,6.092,6.031,5.972,5.752,5.557,5.383,5.226,5.085
250,39.7,6.283,6.213,6.178,6.115,6.054,5.828,5.628,5.451,5.291,5.148
260,46.9,6.373,6.331,6.264,6.199,6.136,5.903,5.699,5.517,5.355,5.209
270,55,6.462,6.419,6.349,6.282,6.217,5.978,5.769,5.584,5.418,5.27
280,64.1,6.553,6.507,6.434,6.364,6.297,6.052,5.838,5.649,5.48,5.329
290,74.4,6.643,6.596,6.52,6.447,6.377,6.125,5.906,5.713,5.542,5.388
300,85.8,6.735,6.685,6.605,6.529,6.457,6.197,5.973,5.777,5.602,5.446
0,200,3.514,3.506,3.491,3.473,3.454,3.371,3.284,3.196,3.11,3.029
10,200,3.661,3.652,3.634,3.614,3.593,3.503,3.41,3.318,3.229,3.145
20,200,3.803,3.792,3.772,3.75,3.727,3.63,3.532,3.437,3.345,3.258
25,200,3.872,3.861,3.839,3.816,3.792,3.692,3.592,3.495,3.401,3.313
30,200,3.94,3.928,3.906,3.882,3.857,3.754,3.651,3.552,3.457,3.367
40,200,4.074,4.06,4.036,4.01,3.983,3.874,3.767,3.663,3.565,3.473
50,200,4.203,4.188,4.162,4.134,4.105,3.991,3.818,3.771,3.67,3.576
60,200,4.328,4.312,4.284,4.254,4.224,4.104,3.937,3.876,3.772,3.675
70,200,4.45,4.433,4.402,4.371,4.339,4.213,4.092,3.978,3.871,3.771
80,200,4.563,4.55,4.518,4.485,4.452,4.32,4.195,4.077,3.966,3.864
90,200,4.683,4.664,4.63,4.596,4.561,4.424,4.294,4.172,4.059,3.955
100,200,4.796,4.776,4.74,4.704,4.667,4.525,4.391,4.266,4.15,4.043
110,200,4.906,4.884,4.847,4.809,4.771,4.624,4.435,4.357,4.238,4.128
120,200,5.013,4.99,4.951,4.912,4.872,4.72,4.517,4.445,4.323,4.211
