"T [C]","P [bar]","S0/R H2O","S0/R NaCl","A_S/R [(kg/mol)^0.5]","B0 [kg/mol/K]","B1 [kg/mol/K]","10^3xC [(kg/mol)^2/K]"
0,1,7.6175,15.177,2.063,0.4493,0.7368,-25.87
10,1,7.945,14.512,2.177,0.3704,0.6185,-20.26
20,1,8.2597,14.065,2.301,0.3166,0.5614,-16.91
25,1,8.413,13.886,2.366,0.2953,0.5457,-15.7
30,1,8.5637,13.726,2.434,0.2766,0.5356,-14.7
40,1,8.8579,13.446,2.574,0.245,0.5275,-13.11
50,1,9.1427,13.201,2.722,0.2189,0.5301,-11.88
60,1,9.4189,12.975,2.879,0.1966,0.5396,-10.88
70,1,9.687,12.763,3.044,0.1776,0.5537,-9.95
80,1,9.9478,12.544,3.22,0.1603,0.5709,-9.23
90,1,10.2019,12.317,3.407,0.1446,0.5905,-8.58
100,1,10.4497,12.078,3.606,0.1301,0.6118,-7.98
110,1.4,10.6917,11.822,3.818,0.1166,0.6344,-7.41
120,2,10.9283,11.546,4.045,0.1037,0.6579,-6.86
130,2.7,11.1599,11.246,4.288,0.0915,0.6822,-6.32
140,3.6,11.3868,10.918,4.549,0.0797,0.7071,-5.8
150,4.8,11.6094,10.561,4.83,0.0684,0.7325,-5.28
160,6.2,11.8279,10.168,5.135,0.0573,0.7582,-4.76
170,7.9,12.0427,9.738,5.466,0.0466,0.7843,-4.25
180,10,12.2542,9.263,5.828,0.0363,0.8107,-3.73
190,12.5,12.4626,8.74,6.226,0.0265,0.8373,-3.22
200,15.5,12.6682,8.16,6.667,0.0173,0.864,-2.7
210,19.1,12.8716,7.515,7.157,0.0088,0.891,-2.18
220,23.2,13.0729,6.794,7.71,0.0014,0.918,-1.65
230,28,13.2727,5.983,8.337,-0.0046,0.9452,-1.13
240,33.4,13.4712,5.064,9.058,-0.0087,0.9725,-0.59
250,39.7,13.669,4.012,9.899,-0.0104,0.9998,-0.05
260,46.9,13.8666,2.795,10.895,-0.0089,1.0272,0.49
270,55,14.0645,1.362,12.097,-0.0031,1.0547,1.05
280,64.1,14.2633,-0.354,13.578,0.0084,1.0823,1.62
290,74.4,14.4639,-2.462,15.451,0.0278,1.1099,2.21
300,85.8,14.6673,-5.128,17.89,0.0577,1.1376,2.83
0,200,7.6193,14.687,2.032,0.4037,0.7368,-22.85
10,200,7.9402,14.189,2.145,0.3398,0.6185,-18.16
20,200,8.2501,13.85,2.265,0.2951,0.5614,-15.38
25,200,8.4013,13.711,2.328,0.2771,0.5457,-14.39
30,200,8.5502,13.586,2.392,0.2611,0.5356,-13.56
40,200,8.8411,13.365,2.527,0.2337,0.5275,-12.26
50,200,9.1229,13.169,2.668,0.2108,0.5301,-11.27
60,200,9.3963,12.986,2.817,0.1911,0.5396,-10.46
70,200,9.6618,12.807,2.975,0.1737,0.5537,-9.77
80,200,9.92,12.627,3.14,0.1581,0.5709,-9.14
90,200,10.1716,12.439,3.316,0.1437,0.5905,-8.55
100,200,10.4169,12.239,3.501,0.1303,0.6118,-7.98
110,200,10.6564,12.022,3.697,0.1175,0.6344,-7.42
120,200,10.8905,11.787,3.906,0.1053,0.6579,-6.87
130,200,11.1196,11.528,4.128,0.0933,0.6822,-6.32
140,200,11.3439,11.245,4.364,0.0816,0.7071,-5.76
150,200,11.5638,10.934,4.617,0.0698,0.7325,-5.19
160,200,11.7796,10.593,4.888,0.0581,0.7582,-4.62
170,200,11.9916,10.216,5.179,0.0462,0.7843,-4.03
180,200,12.2002,9.802,5.493,0.0343,0.8107,-3.43
190,200,12.4055,9.345,5.834,0.0222,0.8373,-2.82
200,200,12.608,8.84,6.207,0.0101,0.864,-2.19
210,200,12.808,8.28,6.616,-0.0019,0.891,-1.56
220,200,13.0059,7.658,7.069,-0.0138,0.918,-0.9
230,200,13.2021,6.964,7.576,-0.0252,0.9452,-0.23
240,200,13.3968,6.185,8.149,-0.0358,0.9725,0.45
250,200,13.5907,5.304,8.807,-0.0452,0.9998,1.15
260,200,13.7842,4.299,9.573,-0.0527,1.0272,1.86
270,200,13.9779,3.136,10.485,-0.0574,1.0547,2.59
280,200,14.1724,1.769,11.594,-0.0578,1.0823,3.34
290,200,14.3686,0.124,12.983,-0.0521,1.1099,4.11
300,200,14.5676,-1.916,14.784,-0.037,1.1376,4.91
0,400,7.6179,14.267,2.005,0.362,0.7368,-19.82
10,400,7.9336,13.907,2.115,0.3116,0.6185,-16.06
20,400,8.2394,13.659,2.231,0.275,0.5614,-13.85
25,400,8.3889,13.555,2.292,0.2599,0.5457,-13.07
30,400,8.5362,13.461,2.354,0.2464,0.5356,-12.42
40,400,8.8241,13.291,2.483,0.2229,0.5275,-11.41
50,400,9.1032,13.138,2.619,0.2031,0.5301,-10.65
60,400,9.3741,12.994,2.761,0.1858,0.5396,-10.04
70,400,9.6372,12.851,2.911,0.1704,0.5537,-9.58
80,400,9.8931,12.701,3.067,0.1564,0.5709,-9.04
90,400,10.1424,12.554,3.233,0.1433,0.5905,-8.51
100,400,10.3854,12.389,3.406,0.131,0.6118,-7.98
110,400,10.6221,12.209,3.589,0.1192,0.6344,-7.44
120,400,10.8545,12.01,3.782,0.1076,0.6579,-6.88
130,400,11.0812,11.79,3.986,0.096,0.6822,-6.31
140,400,11.3031,11.547,4.201,0.0844,0.7071,-5.72
150,400,11.5205,11.279,4.429,0.0726,0.7325,-5.11
160,400,11.7336,10.984,4.671,0.0604,0.7582,-4.47
170,400,11.9421,10.658,4.928,0.0478,0.7843,-3.81
180,400,12.1482,10.299,5.201,0.0346,0.8107,-3.12
190,400,12.3502,9.904,5.493,0.0208,0.8373,-2.4
200,400,12.5491,9.468,5.806,0.0064,0.864,-1.65
210,400,12.7452,8.988,6.142,-0.0088,0.891,-0.87
220,400,12.9388,8.46,6.506,-0.0247,0.918,-0.05
230,400,13.1301,7.875,6.902,-0.0414,0.9452,0.8
240,400,13.3194,7.229,7.335,-0.0588,0.9725,1.7
250,400,13.5071,6.513,7.815,-0.0769,0.9998,2.65
260,400,13.6936,5.714,8.35,-0.0956,1.0272,3.65
270,400,13.8791,4.821,8.955,-0.1146,1.0547,4.72
280,400,14.0641,3.814,9.65,-0.1336,1.0823,5.88
290,400,14.2489,2.67,10.462,-0.1523,1.1099,7.15
300,400,14.434,1.354,11.433,-0.1699,1.1376,8.56
0,600,7.6138,13.914,1.98,0.3243,0.7368,-16.78
10,600,7.9253,13.665,2.088,0.2857,0.6185,-13.96
20,600,8.2277,13.491,2.201,0.2563,0.5614,-12.32
25,600,8.3758,13.417,2.259,0.2439,0.5457,-11.75
30,600,8.5216,13.348,2.319,0.2326,0.5356,-11.28
40,600,8.8069,13.223,2.444,0.2127,0.5275,-10.56
50,600,9.0837,13.109,2.574,0.1956,0.5301,-10.03
60,600,9.3524,12.999,2.71,0.1807,0.5396,-9.62
70,600,9.6133,12.892,2.852,0.1675,0.5537,-9.4
80,600,9.8672,12.78,3.001,0.155,0.5709,-8.95
90,600,10.1144,12.66,3.158,0.1432,0.5905,-8.48
100,600,10.3554,12.526,3.321,0.132,0.6118,-7.98
110,600,10.5906,12.378,3.493,0.1209,0.6344,-7.46
120,600,10.8203,12.212,3.673,0.11,0.6579,-6.9
130,600,11.0449,12.026,3.861,0.0989,0.6822,-6.31
140,600,11.2647,11.818,4.059,0.0876,0.7071,-5.68
150,600,11.4798,11.587,4.267,0.0758,0.7325,-5.02
160,600,11.6906,11.331,4.486,0.0634,0.7582,-4.32
170,600,11.8973,11.048,4.715,0.0503,0.7843,-3.58
180,600,12.1002,10.735,4.957,0.0363,0.8107,-2.8
190,600,12.2995,10.389,5.211,0.0213,0.8373,-1.97
200,600,12.4954,10.008,5.48,0.0052,0.864,-1.1
210,600,12.6883,9.589,5.764,-0.0123,0.891,-0.18
220,600,12.8784,9.128,6.065,-0.0312,0.918,0.8
230,600,13.0659,8.62,6.385,-0.0518,0.9452,1.84
240,600,13.2511,8.062,6.726,-0.0742,0.9725,2.95
250,600,13.4343,7.446,7.092,-0.0988,0.9998,4.15
260,600,13.6157,6.766,7.487,-0.1257,1.0272,5.44
270,600,13.7955,6.014,7.915,-0.1555,1.0547,6.85
280,600,13.9741,5.178,8.384,-0.1885,1.0823,8.42
290,600,14.1516,4.245,8.902,-0.2255,1.1099,10.18
300,600,14.3285,3.198,9.483,-0.2676,1.1376,12.21
0,800,7.6075,13.621,1.959,0.2903,0.7368,-13.75
10,800,7.9156,13.459,2.063,0.262,0.6185,-11.85
20,800,8.2152,13.345,2.113,0.239,0.5614,-10.79
25,800,8.362,13.295,2.229,0.2289,0.5457,-10.42
30,800,8.5066,13.249,2.287,0.2195,0.5356,-10.14
40,800,8.7897,13.162,2.407,0.2029,0.5275,-9.71
50,800,9.0644,13.081,2.532,0.1884,0.5301,-9.41
60,800,9.331,13.003,2.663,0.1757,0.5396,-9.2
70,800,9.59,12.929,2.799,0.1648,0.5537,-9.21
80,800,9.842,12.846,2.941,0.1537,0.5709,-8.85
90,800,10.0873,12.754,3.09,0.143,0.5905,-8.44
100,800,10.3265,12.649,3.245,0.1327,0.6118,-7.98
110,800,10.5598,12.528,3.407,0.1224,0.6344,-7.47
120,800,10.7877,12.391,3.575,0.112,0.6579,-6.91
130,800,11.0105,12.234,3.751,0.1014,0.6822,-6.3
140,800,11.2283,12.057,3.935,0.0903,0.7071,-5.64
150,800,11.4415,11.858,4.126,0.0786,0.7325,-4.93
160,800,11.6502,11.636,4.326,0.0661,0.7582,-4.17
170,800,11.8548,11.388,4.534,0.0527,0.7843,-3.35
180,800,12.0554,11.113,4.751,0.0382,0.8107,-2.48
190,800,12.2524,10.808,4.976,0.0223,0.8373,-1.55
200,800,12.4459,10.472,5.212,0.0049,0.864,-0.55
210,800,12.6361,10.101,5.457,-0.0142,0.891,0.51
220,800,12.8233,9.692,5.712,-0.0354,0.918,1.65
230,800,13.0078,9.241,5.978,-0.0588,0.9452,2.88
240,800,13.1897,8.745,6.257,-0.085,0.9725,4.21
250,800,13.3693,8.198,6.547,-0.1143,0.9998,5.65
260,800,13.5467,7.595,6.851,-0.1473,1.0272,7.23
270,800,13.7223,6.926,7.17,-0.1849,1.0547,8.98
280,800,13.8962,6.183,7.505,-0.2281,1.0823,10.96
290,800,14.0685,5.352,7.86,-0.2785,1.1099,13.22
300,800,14.2396,4.415,8.235,-0.3385,1.1376,15.86
0,1000,7.5993,13.382,1.94,0.2598,0.7368,-10.71
10,1000,7.9047,13.285,2.041,0.2404,0.6185,-9.75
20,1000,8.202,13.219,2.147,0.2228,0.5614,-9.26
25,1000,8.3476,13.189,2.202,0.2148,0.5457,-9.1
30,1000,8.4913,13.16,2.258,0.2072,0.5356,-8.99
40,1000,8.7723,13.106,2.373,0.1935,0.5275,-8.86
50,1000,9.0451,13.055,2.494,0.1814,0.5301,-8.8
60,1000,9.3099,13.005,2.619,0.1708,0.5396,-8.78
70,1000,9.5672,12.96,2.75,0.1621,0.5537,-9.02
80,1000,9.8174,12.902,2.886,0.1522,0.5709,-8.76
90,1000,10.0611,12.834,3.028,0.1424,0.5905,-8.41
100,1000,10.2986,12.753,3.175,0.1328,0.6118,-7.98
110,1000,10.5303,12.657,3.329,0.1231,0.6344,-7.49
120,1000,10.7565,12.543,3.488,0.1132,0.6579,-6.93
130,1000,10.9776,12.412,3.653,0.1028,0.6822,-6.3
140,1000,11.1937,12.261,3.825,0.0919,0.7071,-5.61
150,1000,11.4051,12.089,4.003,0.0802,0.7325,-4.85
160,1000,11.6121,11.895,4.187,0.0676,0.7582,-4.02
170,1000,11.8148,11.677,4.377,0.0539,0.7843,-3.13
180,1000,12.0135,11.433,4.574,0.0388,0.8107,-2.17
190,1000,12.2084,11.162,4.777,0.0222,0.8373,-1.13
200,1000,12.3997,10.862,4.987,0.0038,0.864,-0.01
210,1000,12.5877,10.529,5.202,-0.0166,0.891,1.2
220,1000,12.7725,10.161,5.424,-0.0394,0.918,2.5
230,1000,12.9544,9.755,5.651,-0.0651,0.9452,3.92
240,1000,13.1336,9.307,5.884,-0.094,0.9725,5.46
250,1000,13.3102,8.811,6.123,-0.1267,0.9998,7.15
260,1000,13.4845,8.262,6.366,-0.1642,1.0272,9.02
270,1000,13.6567,7.651,6.614,-0.2075,1.0547,11.11
280,1000,13.8269,6.967,6.866,-0.2581,1.0823,13.49
290,1000,13.9953,6.196,7.121,-0.3181,1.1099,16.25
300,1000,14.1621,5.316,7.38,-0.3908,1.1376,19.51
