"T [C]","Psat [bar]","Psat or 1 [bar]","200 [bar]","400 [bar]","600 [bar]","800 [bar]","1000 [bar]"
0,,7.031,6.533,6.106,5.745,5.445,5.198
10,,6.148,5.817,5.528,5.278,5.064,4.883
20,,5.49,5.266,5.068,4.892,4.739,4.604
25,,5.207,5.025,4.861,4.715,4.585,4.471
30,,4.945,4.798,4.665,4.544,4.437,4.34
40,,4.466,4.378,4.296,4.22,4.151,4.087
50,,4.028,3.988,3.949,3.912,3.876,3.842
60,,3.614,3.617,3.617,3.614,3.61,3.604
70,,3.219,3.255,3.291,3.324,3.352,3.375
80,,2.822,2.897,2.968,3.034,3.091,3.139
90,,2.421,2.535,2.642,2.739,2.825,2.897
100,1,2.012,2.165,2.307,2.436,2.55,2.646
110,1.4,1.59,1.782,1.96,2.121,2.263,2.383
120,2,1.152,1.385,1.599,1.793,1.963,2.108
130,2.7,0.693,0.968,1.221,1.448,1.648,1.818
140,3.6,0.211,0.53,0.823,1.086,1.316,1.511
150,4.8,-0.298,0.067,0.403,0.703,0.965,1.187
160,6.2,-0.839,-0.423,-0.041,0.298,0.594,0.844
170,7.9,-1.416,-0.945,-0.513,-0.132,0.2,0.48
180,10,-2.033,-1.503,-1.015,-0.588,-0.218,0.093
190,12,-2.697,-2.1,-1.551,-1.014,-0.664,-0.319
200,15.5,-3.415,-2.743,-2.124,-1.593,-1.138,-0.757
210,19.1,-4.195,-3.438,-2.739,-2.147,-1.645,-1.225
220,23.2,-5.049,-4.193,-3.401,-2.741,-2.187,-1.726
230,28,-5.991,-5.018,-4.115,-3.38,-2.768,-2.263
240,33.4,-7.038,-5.925,-4.89,-4.067,-3.393,-2.84
250,3907,-8.216,-6.932,-5.733,-4.809,-4.066,-3.462
260,46.9,-9.559,-8.062,-6.656,-5.613,-4.794,-4.136
270,55,-11.114,-9.347,-7.672,-6.488,-5.585,-4.87
280,64.1,-12.952,-10.835,-8.799,-7.445,-6.449,-5.675
290,74.4,-15.178,-12.598,-10.062,-8.497,-7.399,-6.565
300,85.8,-17.961,-14.756,-11.495,-9.661,-8.453,-7.562
