"T [C]","P [bar]","1e3*dV0/dT H2O [cc/mol/K]","dV0/dT NaCl [cc/mol/K]","A_X [Cc^3 kg^0.5/mol^3/2/K]","1e6*B [kg/mol/bar/K]","1e9*C [kg^2/mol^2/bar/K]"
0,1,-1.45,0.221,0.0137,-0.879,55.6
10,1,1.58,0.144,0.0143,-0.565,37.1
20,1,3.77,0.096,0.0159,-0.383,26.1
25,1,4.69,0.077,0.0168,-0.318,22.1
30,1,5.52,0.061,0.0179,-0.266,18.8
40,1,7.01,0.035,0.0205,-0.186,13.6
50,1,8.34,0.013,0.0234,-0.128,9.6
60,1,9.57,-0.006,0.0268,-0.084,6.3
70,1,10.74,-0.018,0.0307,-0.063,2.7
80,1,11.87,-0.036,0.0352,-0.037,1.3
90,1,12.98,-0.053,0.0404,-0.018,0.5
100,1,14.1,-0.07,0.0466,-0.003,0
110,1.4,15.23,-0.087,0.0537,0.007,-0.2
120,2,16.38,-0.105,0.0622,0.013,-0.2
130,2.7,17.58,-0.125,0.0722,0.015,0.1
140,3.6,18.83,-0.145,0.084,0.014,0.5
150,4.8,20.16,-0.168,0.0982,0.007,1
160,6.2,21.59,-0.193,0.115,-0.004,1.7
170,7.9,23.12,-0.22,0.136,-0.02,2.5
180,10,24.8,-0.252,0.161,-0.042,3.5
190,12.5,26.64,-0.289,0.192,-0.07,4.6
200,15.5,28.69,-0.333,0.231,-0.107,5.8
210,19.1,30.99,-0.386,0.279,-0.153,7.1
220,23.2,33.6,-0.451,0.341,-0.21,8.6
230,28,36.58,-0.532,0.419,-0.28,10.3
240,33.4,40.03,-0.637,0.522,-0.366,12.2
250,39.7,44.08,-0.773,0.657,-0.473,14.3
260,46.9,48.89,-0.957,0.84,-0.604,16.8
270,55,54.71,-1.21,1.09,-0.767,19.6
280,64.1,61.89,-1.57,1.44,-0.971,22.9
290,74.4,70.97,-2.09,1.95,-1.23,26.9
300,85.8,82.76,-2.88,2.72,-1.57,31.8
0,200,-0.05,0.189,0.0121,-0.8,55.6
10,200,2.39,0.126,0.013,-0.52,37.1
20,200,4.23,0.085,0.0145,-0.356,26.1
25,200,5.02,0.069,0.0155,-0.297,22.1
30,200,5.74,0.055,0.0165,-0.25,18.8
40,200,7.04,0.032,0.0188,-0.176,13.6
50,200,8.22,0.013,0.0214,-0.123,9.6
60,200,9.32,-0.004,0.0244,-0.081,6.3
70,200,10.37,-0.018,0.0279,-0.052,2.7
80,200,11.39,-0.034,0.0318,-0.027,1.3
90,200,12.39,-0.05,0.0363,-0.008,0.5
100,200,13.38,-0.065,0.0416,0.007,0
110,200,14.38,-0.081,0.0476,0.018,-0.2
120,200,15.4,-0.097,0.0547,0.025,-0.2
130,200,16.45,-0.114,0.0629,0.029,0.1
140,200,17.53,-0.132,0.0726,0.03,0.5
150,200,18.67,-0.151,0.084,0.027,1
160,200,19.88,-0.172,0.0976,0.02,1.7
170,200,21.17,-0.195,0.114,0.008,2.5
180,200,22.57,-0.22,0.133,-0.008,3.5
190,200,24.08,-0.249,0.157,-0.03,4.6
200,200,25.74,-0.283,0.186,-0.059,5.8
210,200,27.58,-0.321,0.222,-0.095,7.1
220,200,29.63,-0.367,0.266,-0.141,8.6
230,200,31.94,-0.423,0.322,-0.199,10.3
240,200,34.57,-0.493,0.394,-0.271,12.2
250,200,37.6,-0.581,0.487,-0.361,14.3
260,200,41.14,-0.697,0.611,-0.473,16.8
270,200,45.33,-0.854,0.78,-0.615,19.6
280,200,50.37,-1.07,1.02,-0.796,22.9
290,200,56.59,-1.39,1.35,-1.03,26.9
300,200,64.47,-1.87,1.86,-1.34,31.8
0,400,1.15,0.16,0.0107,-0.726,55.6
10,400,3.11,0.109,0.0118,-0.477,37.1
20,400,4.65,0.074,0.0133,-0.33,26.1
25,400,5.32,0.061,0.0142,-0.278,22.1
30,400,5.95,0.049,0.0152,-0.235,18.8
40,400,7.09,0.029,0.0173,-0.168,13.6
50,400,8.14,0.013,0.0196,-0.117,9.6
60,400,9.12,-0.003,0.0223,-0.078,6.3
70,400,10.06,-0.018,0.0254,-0.045,2.7
80,400,10.98,-0.032,0.0288,-0.021,1.3
90,400,11.88,-0.046,0.0327,-0.002,0.5
100,400,12.77,-0.06,0.0372,0.012,0
110,400,13.66,-0.074,0.0424,0.023,-0.2
120,400,14.57,-0.088,0.0483,0.031,-0.2
130,400,15.49,-0.103,0.0551,0.036,0.1
140,400,16.44,-0.119,0.063,0.038,0.5
150,400,17.43,-0.136,0.0723,0.037,1
160,400,18.47,-0.153,0.083,0.033,1.7
170,400,19.56,-0.173,0.0957,0.025,2.5
180,400,20.72,-0.193,0.111,0.014,3.5
190,400,21.97,-0.216,0.128,-0.002,4.6
200,400,23.32,-0.242,0.15,-0.023,5.8
210,400,24.78,-0.27,0.175,-0.05,7.1
220,400,26.37,-0.303,0.206,-0.085,8.6
230,400,28.13,-0.34,0.244,-0.128,10.3
240,400,30.08,-0.384,0.29,-0.182,12.2
250,400,32.25,-0.436,0.348,-0.251,14.3
260,400,34.69,-0.499,0.422,-0.336,16.8
270,400,37.46,-0.577,0.516,-0.444,19.6
280,400,40.62,-0.676,0.64,-0.582,22.9
290,400,44.28,-0.805,0.805,-0.76,26.9
300,400,48.55,-0.979,1.03,-0.994,31.8
0,600,2.18,0.134,0.0095,-0.656,55.6
10,600,3.75,0.093,0.0107,-0.437,37.1
20,600,5.03,0.065,0.0122,-0.307,26.1
25,600,5.61,0.054,0.0131,-0.26,22.1
30,600,6.14,0.044,0.0139,-0.221,18.8
40,600,7.14,0.027,0.0159,-0.16,13.6
50,600,8.07,0.012,0.018,-0.113,9.6
60,600,8.96,-0.002,0.0205,-0.076,6.3
70,600,9.81,-0.016,0.0232,-0.04,2.7
80,600,10.63,-0.029,0.0262,-0.018,1.3
90,600,11.44,-0.042,0.0296,-0.001,0.5
100,600,12.25,-0.054,0.0335,0.012,0
110,600,13.05,-0.067,0.0379,0.022,-0.2
120,600,13.86,-0.079,0.0429,0.03,-0.2
130,600,14.68,-0.093,0.0486,0.035,0.1
140,600,15.52,-0.106,0.0551,0.037,0.5
150,600,16.39,-0.121,0.0627,0.037,1
160,600,17.29,-0.136,0.0713,0.035,1.7
170,600,18.24,-0.152,0.0814,0.03,2.5
180,600,19.23,-0.169,0.093,0.022,3.5
190,600,20.29,-0.188,0.107,0.01,4.6
200,600,21.41,-0.208,0.122,-0.005,5.8
210,600,22.61,-0.23,0.141,-0.025,7.1
220,600,23.91,-0.255,0.163,-0.05,8.6
230,600,25.31,-0.282,0.189,-0.082,10.3
240,600,26.84,-0.312,0.221,-0.123,12.2
250,600,28.5,-0.346,0.259,-0.173,14.3
260,600,30.34,-0.385,0.305,-0.236,16.8
270,600,32.36,-0.428,0.362,-0.316,19.6
280,600,34.6,-0.478,0.432,-0.418,22.9
290,600,37.1,-0.537,0.521,-0.55,26.9
300,600,39.91,-0.604,0.635,-0.723,31.8
0,800,3.04,0.11,0.0083,-0.59,55.6
10,800,4.29,0.079,0.0097,-0.4,37.1
20,800,5.36,0.056,0.0112,-0.285,26.1
25,800,5.85,0.047,0.012,-0.244,22.1
30,800,6.32,0.039,0.0128,-0.209,18.8
40,800,7.2,0.024,0.0146,-0.153,13.6
50,800,8.02,0.011,0.0166,-0.11,9.6
60,800,8.82,-0.001,0.0188,-0.074,6.3
70,800,9.58,-0.014,0.0212,-0.039,2.7
80,800,10.33,-0.025,0.0239,-0.02,1.3
90,800,11.07,-0.036,0.0269,-0.005,0.5
100,800,11.79,-0.047,0.0302,0.007,0
110,800,12.52,-0.058,0.034,0.015,-0.2
120,800,13.25,-0.069,0.0383,0.021,-0.2
130,800,13.99,-0.081,0.0431,0.026,0.1
140,800,14.74,-0.092,0.0486,0.028,0.5
150,800,15.51,-0.105,0.0548,0.028,1
160,800,16.31,-0.117,0.0618,0.026,1.7
170,800,17.13,-0.131,0.0699,0.022,2.5
180,800,18,-0.145,0.0791,0.016,3.5
190,800,18.9,-0.161,0.0896,0.007,4.6
200,800,19.86,-0.177,0.102,-0.004,5.8
210,800,20.88,-0.195,0.116,-0.019,7.1
220,800,21.96,-0.215,0.132,-0.038,8.6
230,800,23.12,-0.235,0.151,-0.062,10.3
240,800,24.36,-0.258,0.173,-0.091,12.2
250,800,25.7,-0.282,0.199,-0.128,14.3
260,800,27.14,-0.308,0.229,-0.174,16.8
270,800,28.71,-0.337,0.265,-0.232,19.6
280,800,30.42,-0.366,0.308,-0.306,22.9
290,800,32.28,-0.397,0.36,-0.401,26.9
300,800,34.32,-0.428,0.423,-0.525,31.8
0,1000,3.73,0.089,0.0072,-0.528,55.6
10,1000,4.74,0.066,0.0087,-0.365,37.1
20,1000,5.65,0.049,0.0102,-0.266,26.1
25,1000,6.07,0.042,0.011,-0.229,22.1
30,1000,6.47,0.035,0.0118,-0.198,18.8
40,1000,7.25,0.022,0.0135,-0.148,13.6
50,1000,7.98,0.011,0.0153,-0.107,9.6
60,1000,8.69,-0.001,0.0173,-0.073,6.3
70,1000,9.39,-0.011,0.0194,-0.04,2.7
80,1000,10.07,-0.021,0.0218,-0.025,1.3
90,1000,10.74,-0.03,0.0245,-0.013,0.5
100,1000,11.4,-0.039,0.0274,-0.004,0
110,1000,12.06,-0.048,0.0307,0.002,-0.2
120,1000,12.72,-0.058,0.0343,0.006,-0.2
130,1000,13.38,-0.067,0.0384,0.009,0.1
140,1000,14.06,-0.077,0.0431,0.009,0.5
150,1000,14.75,-0.087,0.0482,0.009,1
160,1000,15.47,-0.098,0.054,0.006,1
170,1000,16.19,-0.109,0.0606,0.002,2.5
180,1000,16.95,-0.121,0.068,-0.004,3.5
190,1000,17.74,-0.133,0.0763,-0.011,4.6
200,1000,18.57,-0.146,0.0858,-0.021,5.8
210,1000,19.44,-0.161,0.0965,-0.033,7.1
220,1000,20.37,-0.176,0.109,-0.048,8.6
230,1000,21.35,-0.192,0.123,-0.066,10.3
240,1000,22.38,-0.21,0.139,-0.088,12.2
250,1000,23.49,-0.228,0.157,-0.116,14.3
260,1000,24.67,-0.248,0.177,-0.15,16.8
270,1000,25.94,-0.268,0.201,-0.192,19.6
280,1000,27.3,-0.289,0.229,-0.245,22.9
290,1000,28.76,-0.309,0.261,-0.312,26.9
300,1000,30.34,-0.328,0.299,-0.4,31.8
