"T [C]","P [bar]","1e3*dV0/dP H2O [cc/mol/bar]","1e3*dV0/dP NaCl [cc/mol/bar]","1e3*A_k [Cc^3 kg^0.5/mol^3/2/bar]","1e9*B [kg/mol/bar^2]"
0,1,-0.919,6.63,-0.201,-11.73
10,1,-0.861,5.34,-0.281,-8.27
20,1,-0.827,4.58,-0.351,-6.18
25,1,-0.817,4.34,-0.388,-5.46
30,1,-0.81,4.15,-0.425,-4.89
40,1,-0.804,3.93,-0.508,-4.07
50,1,-0.807,3.87,-0.604,-3.54
60,1,-0.817,3.92,-0.718,-3.19
70,1,-0.834,3.56,-0.855,-1.5
80,1,-0.857,3.6,-1.02,-0.86
90,1,-0.887,3.71,-1.22,-0.24
100,1,-0.923,3.91,-1.47,0.38
110,1.4,-0.966,4.19,-1.77,1.03
120,2,-1.016,4.58,-2.14,1.74
130,2.7,-1.075,5.08,-2.6,2.52
140,3.6,-1.143,5.73,-3.17,3.41
150,4.8,-1.221,6.54,-3.88,4.44
160,6.2,-1.311,7.58,-4.78,5.66
170,7.9,-1.416,8.89,-5.93,7.09
180,10,-1.538,10.6,-7.38,8.79
190,12.5,-1.679,12.7,-9.25,10.8
200,15.5,-1.845,15.5,-11.7,13.3
210,19.1,-2.041,19.1,-14.9,16.2
220,23.2,-2.274,24,-19.1,19.7
230,28,-2.554,30.4,-24.7,23.8
240,33.4,-2.894,39.2,-32.3,28.9
250,39.7,-3.313,51.4,-42.7,34.9
260,46.9,-3.837,68.4,-57.2,42.2
270,55,-4.503,92.7,-77.8,51
280,64.1,-5.369,128,-107,61.7
290,74.4,-6.525,181,-152,74.9
300,85.8,-8.12,261,-218,91.2
0,200,-0.858,5.98,-0.215,-10.56
10,200,-0.808,4.8,-0.281,-7.3
20,200,-0.778,4.1,-0.342,-5.37
25,200,-0.769,3.97,-0.375,-4.7
30,200,-0.762,3.69,-0.408,-4.18
40,200,-0.756,3.48,-0.482,-3.44
50,200,-0.757,3.4,-0.569,-2.98
60,200,-0.765,3.43,-0.671,-2.69
70,200,-0.779,3.18,-0.792,-1.4
80,200,-0.799,3.24,-0.937,-0.94
90,200,-0.824,3.37,-1.11,-0.52
100,200,-0.854,3.57,-1.33,-0.12
110,200,-0.89,3.86,-1.58,0.27
120,200,-0.932,4.23,-1.9,0.68
130,200,-0.981,4.7,-2.28,1.14
140,200,-1.037,5.29,-2.76,1.67
150,200,-1.101,6.01,-3.35,2.3
160,200,-1.174,6.9,-4.08,3.08
170,200,-1.258,7.96,-4.19,4.04
180,200,-1.355,9.32,-6.14,5.23
190,200,-1.466,11,-7.6,6.71
200,200,-1.595,13.1,-9.46,8.54
210,200,-1.744,15.7,-11.9,10.8
220,200,-1.919,19.1,-15,13.6
230,200,-2.126,23.6,-19.1,17.1
240,200,-2.373,29.5,-24.6,21.3
250,200,-2.671,37.6,-32.1,26.6
260,200,-3.035,48.8,-42.4,33.1
270,200,-3.487,64.6,-56.9,41.1
280,200,-4.059,87.8,-77.9,51
290,200,-4.802,122.6,-109,63.4
300,200,-5.795,177,-157,79.1
0,400,-0.805,5.39,-0.211,-9.38
10,400,-0.761,4.31,-0.27,-6.34
20,400,-0.735,3.67,-0.326,-4.54
25,400,-0.726,3.45,-0.355,-3.94
30,400,-0.72,3.29,-0.386,-3.41
40,400,-0.714,3.08,-0.453,-2.81
50,400,-0.714,3.01,-0.531,-2.42
60,400,-0.721,3.02,-0.622,-2.17
70,400,-0.732,2.88,-0.73,-1.3
80,400,-0.749,2.97,-0.858,-1.01
90,400,-0.77,3.12,-1.01,-0.79
100,400,-0.796,3.36,-1.2,-0.63
110,400,-0.826,3.67,-1.42,-0.5
120,400,-0.862,4.06,-1.68,-0.39
130,400,-0.903,4.54,-2.01,-0.27
140,400,-0.949,5.12,-2.4,-0.11
150,400,-1.003,5.81,-2.88,0.11
160,400,-1.063,6.64,-3.47,0.42
170,400,-1.131,7.61,-4.19,0.87
180,400,-1.208,8.77,-5.09,1.48
190,400,-1.296,10.1,-6.2,2.31
200,400,-1.396,11.8,-7.6,3.42
210,400,-1.51,13.8,-9.35,4.88
220,400,-1.641,16.3,-11.6,6.77
230,400,-1.792,19.3,-14.4,9.2
240,400,-1.966,23.1,-18.1,12.3
250,400,-2.169,28,-22.9,16.2
260,400,-2.408,34.4,-29.3,21.1
270,400,-2.69,42.9,-37.8,27.4
280,400,-3.028,54.4,-49.4,35.2
290,400,-3.436,70.5,-65.6,45.2
300,400,-3.936,93.5,-88.6,57.8
0,600,-0.757,4.63,-0.197,-8.2
10,600,-0.719,3.86,-0.253,-5.37
20,600,-0.696,3.27,-0.306,-3.72
25,600,-0.688,3.07,-0.333,-3.17
30,600,-0.682,2.92,-0.362,-2.75
40,600,-0.676,2.73,-0.423,-2.18
50,600,-0.677,2.66,-0.494,-1.85
60,600,-0.682,2.66,-0.576,-1.66
70,600,-0.692,2.65,-0.672,-1.2
80,600,-0.706,2.77,-0.785,-1.08
90,600,-0.724,2.97,-0.919,-1.06
100,600,-0.746,3.24,-1.08,-1.13
110,600,-0.772,3.59,-1.27,-1.27
120,600,-0.803,4.03,-1.5,-1.46
130,600,-0.838,4.55,-1.77,-1.67
140,600,-0.878,5.17,-2.1,-1.88
150,600,-0.922,5.88,-2.49,-2.08
160,600,-0.973,6.71,-2.97,-2.23
170,600,-1.03,7.67,-3.55,-2.31
180,600,-1.094,8.77,-4.26,-2.27
190,600,-1.165,10,-5.12,-2.08
200,600,-1.246,11.5,-6.18,-1.69
210,600,-1.336,13.2,-7.49,-1.04
220,600,-1.439,15.2,-9.12,-0.07
230,600,-1.554,17.5,-11.1,1.33
240,600,-1.686,20.3,-13.7,3.24
250,600,-1.836,23.6,-16.9,5.81
260,600,-2.008,27.7,-21,9.21
270,600,-2.205,32.8,-26.3,13.6
280,600,-2.434,39.1,-33.2,19.4
