,BFW_Fm,BFW_F,BFW_h,BFW_T,BFW_P,BFW_F[H2O],ECON_OUT_Fm,ECON_OUT_F,ECON_OUT_h,ECON_OUT_T,ECON_OUT_P,ECON_OUT_F[H2O],FG_2_AIRPH_Fm,FG_2_AIRPH_F,FG_2_AIRPH_h,FG_2_AIRPH_T,FG_2_AIRPH_P,FG_2_AIRPH_F[O2],FG_2_AIRPH_F[NO],FG_2_AIRPH_F[N2],FG_2_AIRPH_F[SO2],FG_2_AIRPH_F[CO2],FG_2_AIRPH_F[H2O],FG_2_ECON_Fm,FG_2_ECON_F,FG_2_ECON_h,FG_2_ECON_T,FG_2_ECON_P,FG_2_ECON_F[O2],FG_2_ECON_F[NO],FG_2_ECON_F[N2],FG_2_ECON_F[SO2],FG_2_ECON_F[CO2],FG_2_ECON_F[H2O],ECON_Q,termination,bin_no,bin_power
0,507.2643816720958,28157.451989205594,15314.527372700451,470.0696512442295,26921593.05219785,28157.451989205594,507.2643816720958,28157.451989205594,20132.863439308738,529.5743825753399,26247853.03197992,28157.451989205594,589.4439066446439,19890.679479686427,-72472.10482562413,492.1356591901544,98913.35809447427,491.2997831482548,11.934407687811856,14737.004426499674,39.78135895937286,2882.1594566065637,1728.5000467847503,589.4439066446439,19890.679479686427,-65651.21835958173,697.7051712327338,99731.31317357808,491.2997831482548,11.934407687811856,14737.004426499674,39.78135895937286,2882.1594566065637,1728.5000467847503,135672066.46338052,optimal,24.0,592500000.0
1,465.3143904120207,25828.873623502976,15058.351079609705,466.8023676046091,26923567.635916173,25828.873623502976,465.3143904120207,25828.873623502976,20337.561762847552,531.998029917534,26246198.239627976,25828.873623502976,588.6059016985627,19862.401152271395,-72605.80011038786,487.98673392532737,101270.58460611811,490.6013084611035,11.917440691362836,14716.053013717876,39.72480230454279,2878.061926964125,1726.042660132384,588.6059016985627,19862.401152271395,-65740.765791332,695.0817113894356,99313.68956162389,490.6013084611035,11.917440691362836,14716.053013717876,39.72480230454279,2878.061926964125,1726.042660132384,136356065.56919795,optimal,24.0,592500000.0
2,491.4465366307947,27279.428164913043,15017.076291573389,466.27525399389776,26922941.813560195,27279.428164913043,491.4465366307947,27279.428164913043,19963.85769078243,527.5660789503943,26247503.436856072,27279.428164913043,580.9269534460124,19603.276413325435,-72429.65130674894,493.45217092731923,99639.84451052597,484.2009274091384,11.761965847995262,14524.067494632816,39.20655282665088,2840.514752290856,1703.5247203179804,580.9269534460124,19603.276413325435,-65545.8342864716,700.7901920988141,100713.53391035853,484.2009274091384,11.761965847995262,14524.067494632816,39.20655282665088,2840.514752290856,1703.5247203179804,134945367.82725105,optimal,24.0,592500000.0
3,448.65184330029865,24903.9617091879,14708.001459901448,462.3207193024617,26922454.073019747,24903.9617091879,448.65184330029865,24903.9617091879,20239.773535921184,530.841428264802,26247083.517459333,24903.9617091879,587.3769391237114,19820.930029415875,-72426.10579983561,493.56209897797356,100511.8134250521,489.5769717265722,11.892558017649524,14685.327058794222,39.64186005883175,2872.0527612623605,1722.4388195562394,587.3769391237114,19820.930029415875,-65475.723564456195,702.8411838167402,99556.76098521177,489.5769717265722,11.892558017649524,14685.327058794222,39.64186005883175,2872.0527612623605,1722.4388195562394,137763039.96515036,optimal,24.0,592500000.0
4,505.80025419463277,28076.18056420065,15041.437808898676,466.586552962519,26921977.89145627,28076.18056420065,505.80025419463277,28076.18056420065,19902.53565401763,526.835742444869,26248582.68152212,28076.18056420065,584.4963605635035,19723.725419763854,-72414.03743600217,493.9362535959052,99602.30486311317,487.1760178681673,11.834235251858313,14613.308163503041,39.44745083952772,2857.967813323783,1713.991738977479,584.4963605635035,19723.725419763854,-65494.398375165874,702.2949899599272,100384.93321111305,487.1760178681673,11.834235251858313,14613.308163503041,39.44745083952772,2857.967813323783,1713.991738977479,136481060.83980614,optimal,25.0,597500000.0
5,491.7774063131807,27297.794223191682,15278.628642648033,469.6122821237168,26922206.010835256,27297.794223191682,491.7774063131807,27297.794223191682,20046.96493182423,528.5544647375044,26247589.25237833,27297.794223191682,585.1964480773073,19747.349748029577,-72480.5098526804,491.87496014063555,99741.06671678754,487.75953877633054,11.848409848817743,14630.811428315114,39.494699496059155,2861.390978489486,1716.0446931037698,585.1964480773073,19747.349748029577,-65888.98924511649,690.7350871914963,100610.40715187938,487.75953877633054,11.848409848817743,14630.811428315114,39.494699496059155,2861.390978489486,1716.0446931037698,130165062.80890922,optimal,24.0,592500000.0
6,519.1167178436319,28815.356621913837,14827.26094279192,463.8482382694049,26921010.236049455,28815.356621913837,519.1167178436319,28815.356621913837,19544.374324173095,522.5535688532256,26248119.017050456,28815.356621913837,586.0354107678488,19775.660394360573,-72464.24436115334,492.37945150087023,99772.90500029607,488.4588117407062,11.865396236616345,14651.78678618175,39.55132078872115,2865.493191142847,1718.5048882699336,586.0354107678488,19775.660394360573,-65590.8807616619,699.4718157285181,99274.1510984975,488.4588117407062,11.865396236616345,14651.78678618175,39.55132078872115,2865.493191142847,1718.5048882699336,135925304.31050235,optimal,25.0,597500000.0
7,518.402046009914,28775.68630684141,14789.394827261063,463.36326364154843,26922845.6232821,28775.68630684141,518.402046009914,28775.68630684141,19707.153391285487,524.5033009442099,26247239.161619864,28775.68630684141,593.5986385985306,20030.880168313768,-72402.01119139063,494.30906597672816,99983.06642165358,494.7627401573501,12.01852810098826,14840.87911670367,40.061760336627536,2902.474536388665,1740.6834866264664,593.5986385985306,20030.880168313768,-65337.32523740031,706.8864832652288,100862.01671182549,494.7627401573501,12.01852810098826,14840.87911670367,40.061760336627536,2902.474536388665,1740.6834866264664,141511877.77114958,optimal,24.0,592500000.0
8,502.7932439807323,27909.266133012214,14942.580934244063,465.32325090897723,26922504.02667181,27909.266133012214,502.7932439807323,27909.266133012214,19555.282872028933,522.6844986729434,26245794.896182492,27909.266133012214,583.21680881329,19680.54717421027,-72333.43759710455,496.4341448343324,99769.9954042443,486.10951520299375,11.80832830452616,14581.31740137239,39.361094348420544,2851.7112855430682,1710.2395494388725,583.21680881329,19680.54717421027,-65792.09884090378,693.5769649264898,100637.18744743793,486.10951520299375,11.80832830452616,14581.31740137239,39.361094348420544,2851.7112855430682,1710.2395494388725,128737125.97389917,optimal,25.0,597500000.0
9,508.50206269661186,28226.153725982156,15204.998207741515,468.67394430873776,26920920.754743893,28226.153725982156,508.50206269661186,28226.153725982156,19825.520615682573,525.917426456229,26246168.724279463,28226.153725982156,582.6243821344138,19660.55584161373,-72356.14569111985,495.7305577994623,99825.36508447657,485.6157292878592,11.796333504968237,14566.505823051612,39.321111683227464,2848.8145414498294,1708.5023026362328,582.6243821344138,19660.55584161373,-65722.58065707122,695.6146311224044,100076.68362889979,485.6157292878592,11.796333504968237,14566.505823051612,39.321111683227464,2848.8145414498294,1708.5023026362328,130419575.78088957,optimal,25.0,597500000.0
