,ATMP_In_F,ATMP_In_P,ATMP_In_T,BFW_F,BFW_P,BFW_T,ECON_OUT_F,ECON_OUT_P,ECON_OUT_T,FG_2_AIRPH_Fm,FG_2_AIRPH_P,FG_2_AIRPH_T,FG_2_ECON_Fm,FG_2_ECON_P,FG_2_ECON_T,FG_2_FSH_Fm,FG_2_FSH_P,FG_2_FSH_T,FG_2_PrSH_Fm,FG_2_PrSH_P,FG_2_PrSH_T,FG_2_RH_Fm,FG_2_RH_P,FG_2_RH_T,FG_PrSH_2_Mix_Fm,FG_PrSH_2_Mix_P,FG_PrSH_2_Mix_T,FG_RH_2_Mix_Fm,FG_RH_2_Mix_P,FG_RH_2_Mix_T,FSH_In_F,FSH_In_P,FSH_In_T,MS_F,MS_P,MS_T,POWER_GROSS,PlatenSH_IN_F,PlatenSH_IN_P,PlatenSH_IN_T,PrSH_IN_F,PrSH_IN_P,PrSH_IN_T,RHT_COLD_F,RHT_COLD_P,RHT_COLD_T,RHT_HOT_F,RHT_HOT_P,RHT_HOT_T
0,26179.34093319551,25946731.777358092,723.0896443384896,27417.880076748897,26921593.05775666,472.2168561031778,28355.179762040814,26247853.024371445,522.8894303503621,594.5446422861071,98913.3580898575,491.84531641437974,584.2976390479911,99731.31316956013,698.7782904853132,589.7155116423519,100273.5218690684,1506.414301796059,162.03106926447953,99539.84246182803,1261.696789610923,421.6637179575633,100401.13918249847,1258.7772844058143,165.14437514050675,99135.42373120143,696.5643259567535,411.3842985324145,100057.29516961284,707.4555314050563,28442.335667364343,26100674.891246423,677.6168242524875,27103.544097006088,25946910.70874937,731.5813474432725,594988785.9680728,26633.16726049791,26102691.34027775,659.2165673577487,25979.335192083436,26247152.248993512,658.1878905118144,23740.165059456605,3676264.504320907,581.464941855261,24173.61277668814,3110341.081499496,851.6659673367743
1,27073.69953399256,25948253.72351543,728.5824964875742,26217.16877076532,26923567.63506823,466.4839909530024,25560.353430932442,26246198.24053721,532.9958884960326,591.7290283286981,101270.58460390607,488.03370119238514,585.0994249747341,99313.68956256629,694.9080559590724,583.8268858619394,99112.25891240005,1503.7933080138118,166.11116165425742,100959.381224203,1265.3752141709047,428.678021954948,99983.76906100127,1254.498895219919,174.2417266060119,100103.15051368714,699.7299746524881,423.3127741450266,100314.62709311944,699.2614857015047,27751.986418904748,26103195.453378294,680.7545104222518,26531.723130453927,25948117.446913566,729.9101386611349,594979966.6357335,30167.95714551294,26105329.1681878,670.4005627498134,26930.566098091178,26245566.12826869,667.2334907284487,23658.01884192182,3678105.600609495,581.6065382916779,24568.024000525926,3111270.4171259752,853.4019073588415
2,27255.39784838999,25946783.86623007,736.123826610548,26120.80722588456,26922941.816694148,467.44591466537685,28057.111277204374,26247503.43205934,523.9221193169287,581.6659730451489,99639.84451051909,493.29059199201026,580.3760530740842,100713.53391035246,701.3876919071573,578.0919936008604,100175.23377269311,1503.561177049147,158.60143842140758,100310.5233294322,1258.349639276456,417.4433746518265,100070.27846277825,1261.7896755998636,166.2934629586781,100685.2938148204,681.104470470685,417.63497257852663,99827.89231287196,696.2776634100204,27465.524008398985,26103358.640135907,688.6090755451099,26390.26923873911,25950856.148590513,732.021400854969,594982804.4614818,29378.642325515073,26102126.470144656,667.4129754391295,27491.863143586343,26247181.096651096,658.827614777461,22930.833082178768,3677634.8540120474,579.2894456759179,21987.7254592515,3110650.030199278,859.427547568407
3,29589.90360619453,25947364.367979143,725.3498565477669,24897.98270811567,26922454.067865968,460.4572209735196,25446.698596526134,26247083.523443434,536.6909584675016,586.2781844936512,100511.81342492158,493.84877984592373,588.1216059641353,99556.76098528922,701.7805107333689,587.5177368978333,100127.76773052658,1496.3829971748316,165.13687574810223,99560.42492530317,1268.2572670825682,411.53909684375674,100270.01035775704,1257.3206913499453,155.36384429427358,99484.91121689866,696.7532175670801,427.3035366388047,99059.83999667106,706.6574809721985,27859.135752935166,26103622.792465523,679.6048968388022,27880.476088276166,25946089.765423056,742.01050147302,594995427.5019164,27523.893607517333,26102947.375608113,665.3190159120571,26953.11190257622,26247256.810747616,654.40335570159,23011.13654486733,3677856.809589591,574.4419179771966,24002.8599653346,3111032.0940906475,859.836180103638
4,27709.582068707576,25945855.594395686,725.5849763910597,27669.207684101224,26921977.880736325,462.45729845350854,29815.950300894943,26248582.691618674,530.1467440642306,587.0088316068221,99602.30486311305,494.07163237788706,578.6445369225645,100384.9332111087,701.7450972126645,583.2504054367784,100950.10681817455,1490.67631386047,161.75726000356119,99546.19658215994,1256.6263537793275,422.55750107421756,100268.94390329465,1259.5608057598367,161.77213801865952,100740.42136464991,691.0900649481771,424.62168863386495,101284.71961775218,695.4365049542527,28683.15921238351,26102515.855824906,678.751996341861,27867.58224372278,25946397.326565847,724.129730806996,595010350.8597119,26951.550307941907,26102519.606538564,663.6873817217099,27511.14714222552,26248489.49889775,659.0006441098061,23312.216028111416,3675022.8830378894,582.6852837928383,23007.564756703112,3110322.612065653,855.0632503060068
5,25613.569797466895,25946982.2048814,728.9456475998195,26405.843070309107,26922206.017712925,472.2578704732833,27511.536185992158,26247589.24226669,520.3284573120367,585.749833827443,99741.06671678503,491.5085067090638,585.1515651569906,100610.40715187715,692.087027089546,596.562647689676,100675.39581899898,1490.8843493629274,163.9172370340883,100145.21336388294,1254.0142981526903,415.5819881885245,99693.70813497622,1265.3982330435383,166.45119390158294,99866.44705770502,686.8160584161664,423.4390409024646,100122.8371485906,699.2259280055887,27050.304128675507,26102052.76378248,682.202131463745,26807.469183499692,25945617.236353464,731.262634913188,594977149.4808923,29160.701301782734,26102269.552312087,666.2403889779675,28098.477547059752,26246757.787902806,653.684381417686,24382.35596198315,3677603.3847414227,577.5448708957572,24944.07538640148,3110871.2280533756,861.7236610486538
6,27776.50845666756,25947746.855648663,733.5694330641934,28827.15975612035,26921010.234003387,463.0652026401775,28834.46852742819,26248119.019263502,523.1786340356231,587.6320458948569,99772.90500305897,492.4056019011552,582.5820187206255,99274.15089643128,699.3656343084385,582.8472244962381,100168.29411372641,1495.9102386424472,165.26906022314947,100139.10250581344,1258.2795938065508,421.1334108216918,100598.25610805678,1256.9939383311682,171.4689782402811,100264.86061856711,684.7523894868353,416.18999481565464,99746.48281080529,695.19892552796,24995.674430784755,26100972.939125698,674.9860934684558,28439.766102504112,25946995.031587657,714.2713674891621,595004733.0220431,26725.877799176782,26101982.723181035,662.717816732108,27411.25955431375,26247586.700270146,654.3861889867944,22926.571006153725,3677259.745922265,588.9287223454762,23777.103026041703,3109714.6676839315,856.748245524504
7,26537.563289820402,25946406.281543627,735.1035113026313,28633.080947725695,26922845.628343336,465.2086429200556,28496.164653992535,26247239.152571198,518.7737198276034,592.9419704475597,99983.0664215769,494.06172248108567,594.7215658475894,100862.01671177646,707.8024406208008,596.9309923978146,100377.95997011772,1507.427015569997,170.80960263644212,100648.67249116061,1263.898817291101,424.1991238877698,100581.66873043436,1254.2398175360283,170.5466152673757,99111.2416499361,686.2250094392532,416.0159159006767,99750.64222569528,699.3463914245647,26262.16984265325,26103655.260372784,680.4409804753353,27813.138088956766,25948041.391755044,722.2527740529869,594989097.4546878,25763.189439287027,26102689.380716823,664.5264987370866,25465.824303208516,26249408.89960916,658.6943571636741,24810.127390830712,3674976.8021110194,582.9982797136491,23841.9517727494,3111973.076644711,855.0472281204168
8,27931.110338106864,25946885.843681592,719.5349908427856,27797.653493564474,26922504.036302015,468.9932144787326,28011.853806752904,26245794.88499142,519.7576737055704,585.3112181567265,99769.99540424418,496.3131700956151,579.3424257146872,100637.18744743358,694.0668619497044,589.3076675658405,99520.9252342073,1502.0786301493172,166.32624438055612,100167.30003428654,1255.0242741921877,426.1521914593667,100379.03343435361,1259.098364555429,167.17322230870312,100243.30969629809,685.7008499602468,425.0401852922718,99894.13229038527,704.0563580346899,26977.36882531406,26102998.76770208,680.7461204253559,26920.119167092653,25944803.64407463,720.7695661184204,595000977.7671597,26567.023450738947,26101510.0378158,668.2995963579464,28567.83548764434,26246466.37858925,660.4852796484656,23833.371476395223,3676008.283639563,589.1183325342605,24395.241349136086,3113233.0590956737,860.3273730470431
9,27218.03301377199,25947563.753779486,729.9101120612349,28309.771030278996,26920920.76572733,473.27453443497734,27586.61055299391,26246168.716266543,522.2399728604049,578.5781267193292,99825.36508477436,495.5852158501979,591.7028965867925,100076.68360711084,696.2036420534794,572.8190469034937,99079.92527194605,1495.2971778396243,163.42982440103063,100396.85610201262,1261.9037413760543,423.52640633594046,100588.30371069472,1260.2098641126408,168.67169331708232,99503.92969282315,684.8901362806499,417.27875133467745,100610.02498573803,705.375408022548,26866.6858968717,26104459.00621855,683.9672896266216,27629.105936439646,25946331.998183712,729.593809677952,595020060.8395537,27486.292346553095,26102605.731063727,667.1767327310589,27646.732219834215,26249678.25482442,662.3049039184275,23763.761652869314,3677660.4313610024,589.0336861550727,24155.588355050437,3111385.209641914,857.960227409775
