SN,X1,X2,y
1,-5.000000000000000000e+00,-5.000000000000000000e+00,2.047916666666666515e+03
2,-5.000000000000000000e+00,-4.900000000000000355e+00,2.046426666666666506e+03
3,-5.000000000000000000e+00,-4.799999999999999822e+00,2.044956666666666479e+03
4,-5.000000000000000000e+00,-4.700000000000000178e+00,2.043506666666666433e+03
5,-5.000000000000000000e+00,-4.599999999999999645e+00,2.042076666666666597e+03
6,-5.000000000000000000e+00,-4.500000000000000000e+00,2.040666666666666515e+03
7,-5.000000000000000000e+00,-4.400000000000000355e+00,2.039276666666666415e+03
8,-5.000000000000000000e+00,-4.299999999999999822e+00,2.037906666666666524e+03
9,-5.000000000000000000e+00,-4.200000000000000178e+00,2.036556666666666615e+03
10,-5.000000000000000000e+00,-4.099999999999999645e+00,2.035226666666666461e+03
11,-5.000000000000000000e+00,-4.000000000000000000e+00,2.033916666666666515e+03
12,-5.000000000000000000e+00,-3.899999999999999911e+00,2.032626666666666551e+03
13,-5.000000000000000000e+00,-3.799999999999999822e+00,2.031356666666666570e+03
14,-5.000000000000000000e+00,-3.700000000000000178e+00,2.030106666666666570e+03
15,-5.000000000000000000e+00,-3.599999999999999645e+00,2.028876666666666551e+03
16,-5.000000000000000000e+00,-3.500000000000000000e+00,2.027666666666666515e+03
17,-5.000000000000000000e+00,-3.399999999999999911e+00,2.026476666666666461e+03
18,-5.000000000000000000e+00,-3.299999999999999822e+00,2.025306666666666615e+03
19,-5.000000000000000000e+00,-3.200000000000000178e+00,2.024156666666666524e+03
20,-5.000000000000000000e+00,-3.099999999999999645e+00,2.023026666666666415e+03
21,-5.000000000000000000e+00,-3.000000000000000000e+00,2.021916666666666515e+03
22,-5.000000000000000000e+00,-2.899999999999999911e+00,2.020826666666666597e+03
23,-5.000000000000000000e+00,-2.799999999999999822e+00,2.019756666666666433e+03
24,-5.000000000000000000e+00,-2.699999999999999734e+00,2.018706666666666479e+03
25,-5.000000000000000000e+00,-2.599999999999999645e+00,2.017676666666666506e+03
26,-5.000000000000000000e+00,-2.500000000000000000e+00,2.016666666666666515e+03
27,-5.000000000000000000e+00,-2.399999999999999911e+00,2.015676666666666506e+03
28,-5.000000000000000000e+00,-2.299999999999999822e+00,2.014706666666666479e+03
29,-5.000000000000000000e+00,-2.199999999999999734e+00,2.013756666666666433e+03
30,-5.000000000000000000e+00,-2.099999999999999645e+00,2.012826666666666597e+03
31,-5.000000000000000000e+00,-2.000000000000000000e+00,2.011916666666666515e+03
32,-5.000000000000000000e+00,-1.899999999999999911e+00,2.011026666666666415e+03
33,-5.000000000000000000e+00,-1.799999999999999822e+00,2.010156666666666524e+03
34,-5.000000000000000000e+00,-1.699999999999999734e+00,2.009306666666666615e+03
35,-5.000000000000000000e+00,-1.599999999999999645e+00,2.008476666666666461e+03
36,-5.000000000000000000e+00,-1.500000000000000000e+00,2.007666666666666515e+03
37,-5.000000000000000000e+00,-1.399999999999999911e+00,2.006876666666666551e+03
38,-5.000000000000000000e+00,-1.299999999999999822e+00,2.006106666666666570e+03
39,-5.000000000000000000e+00,-1.199999999999999734e+00,2.005356666666666570e+03
40,-5.000000000000000000e+00,-1.099999999999999645e+00,2.004626666666666551e+03
41,-5.000000000000000000e+00,-1.000000000000000000e+00,2.003916666666666515e+03
42,-5.000000000000000000e+00,-8.999999999999994671e-01,2.003226666666666461e+03
43,-5.000000000000000000e+00,-7.999999999999998224e-01,2.002556666666666615e+03
44,-5.000000000000000000e+00,-7.000000000000001776e-01,2.001906666666666524e+03
45,-5.000000000000000000e+00,-5.999999999999996447e-01,2.001276666666666415e+03
46,-5.000000000000000000e+00,-5.000000000000000000e-01,2.000666666666666515e+03
47,-5.000000000000000000e+00,-3.999999999999994671e-01,2.000076666666666597e+03
48,-5.000000000000000000e+00,-2.999999999999998224e-01,1.999506666666666433e+03
49,-5.000000000000000000e+00,-1.999999999999992895e-01,1.998956666666666479e+03
50,-5.000000000000000000e+00,-9.999999999999964473e-02,1.998426666666666506e+03
51,-5.000000000000000000e+00,0.000000000000000000e+00,1.997916666666666515e+03
52,-5.000000000000000000e+00,1.000000000000005329e-01,1.997426666666666506e+03
53,-5.000000000000000000e+00,2.000000000000001776e-01,1.996956666666666479e+03
54,-5.000000000000000000e+00,3.000000000000007105e-01,1.996506666666666433e+03
55,-5.000000000000000000e+00,4.000000000000003553e-01,1.996076666666666597e+03
