H2O Saturated Vapor Density
D / (mol/dm^3) T / K Author
12.6192 645.226900000 OSBORNE et al. (1937) 001
12.6022 645.226900000 OSBORNE et al. (1937) 002
12.6045 645.226900000 OSBORNE et al. (1937) 003
12.6077 645.226900000 OSBORNE et al. (1937) 004
12.6216 645.226900000 OSBORNE et al. (1937) 005
12.6277 645.226900000 OSBORNE et al. (1937) 006
12.5817 645.226900000 OSBORNE et al. (1937) 007
12.5769 645.226900000 OSBORNE et al. (1937) 008
12.6028 645.226900000 OSBORNE et al. (1937) 009
12.566 645.226900000 OSBORNE et al. (1937) 010
12.6451 645.226900000 OSBORNE et al. (1937) 011
12.6534 645.226900000 OSBORNE et al. (1937) 012
12.6015 645.226900000 OSBORNE et al. (1937) 013
12.638 645.226900000 OSBORNE et al. (1937) 014
11.2268 643.226900000 OSBORNE et al. (1937) 015
11.2357 643.226900000 OSBORNE et al. (1937) 016
11.2354 643.226900000 OSBORNE et al. (1937) 017
11.2335 643.226900000 OSBORNE et al. (1937) 018
11.2364 643.226900000 OSBORNE et al. (1937) 019
11.231 643.226900000 OSBORNE et al. (1937) 020
11.2264 643.226900000 OSBORNE et al. (1937) 021
11.2061 643.226900000 OSBORNE et al. (1937) 022
11.2058 643.226900000 OSBORNE et al. (1937) 023
11.2164 643.226900000 OSBORNE et al. (1937) 024
11.2104 643.226900000 OSBORNE et al. (1937) 025
11.2164 643.226900000 OSBORNE et al. (1937) 026
11.1793 643.226900000 OSBORNE et al. (1937) 027
11.2136 643.226900000 OSBORNE et al. (1937) 028
11.207 643.226900000 OSBORNE et al. (1937) 029
11.2184 643.226900000 OSBORNE et al. (1937) 030
11.2435 643.226900000 OSBORNE et al. (1937) 031
11.217 643.226900000 OSBORNE et al. (1937) 032
9.23045 638.227000000 OSBORNE et al. (1937) 033
9.25304 638.227000000 OSBORNE et al. (1937) 034
9.23439 638.227000000 OSBORNE et al. (1937) 035
9.24338 638.227000000 OSBORNE et al. (1937) 036
9.2441 638.227000000 OSBORNE et al. (1937) 037
9.25082 638.227000000 OSBORNE et al. (1937) 038
9.25215 638.227000000 OSBORNE et al. (1937) 039
9.25643 638.227000000 OSBORNE et al. (1937) 040
9.25348 638.227000000 OSBORNE et al. (1937) 041
9.25154 638.227000000 OSBORNE et al. (1937) 042
9.25082 638.227000000 OSBORNE et al. (1937) 043
9.26009 638.227000000 OSBORNE et al. (1937) 044
9.25459 638.227000000 OSBORNE et al. (1937) 045
7.99083 633.227000000 OSBORNE et al. (1937) 046
7.99749 633.227000000 OSBORNE et al. (1937) 047
7.99494 633.227000000 OSBORNE et al. (1937) 048
7.99305 633.227000000 OSBORNE et al. (1937) 049
7.99738 633.227000000 OSBORNE et al. (1937) 050
7.98917 633.227000000 OSBORNE et al. (1937) 051
7.98728 633.227000000 OSBORNE et al. (1937) 052
7.98434 633.227000000 OSBORNE et al. (1937) 053
7.9945 633.227000000 OSBORNE et al. (1937) 054
7.99649 633.227000000 OSBORNE et al. (1937) 055
7.99611 633.227000000 OSBORNE et al. (1937) 056
7.98922 633.227000000 OSBORNE et al. (1937) 057
7.99405 633.227000000 OSBORNE et al. (1937) 058
7.99255 633.227000000 OSBORNE et al. (1937) 059
7.99766 633.227000000 OSBORNE et al. (1937) 060
7.99666 633.227000000 OSBORNE et al. (1937) 061
7.99722 633.227000000 OSBORNE et al. (1937) 062
8.00094 633.227000000 OSBORNE et al. (1937) 063
7.99971 633.227000000 OSBORNE et al. (1937) 064
7.99611 633.227000000 OSBORNE et al. (1937) 065
7.99971 633.227000000 OSBORNE et al. (1937) 066
8.00005 633.227000000 OSBORNE et al. (1937) 067
6.3051 623.226900000 OSBORNE et al. (1937) 068
6.30449 623.226900000 OSBORNE et al. (1937) 069
6.30981 623.226900000 OSBORNE et al. (1937) 070
6.29777 623.226900000 OSBORNE et al. (1937) 071
6.30471 623.226900000 OSBORNE et al. (1937) 072
6.30493 623.226900000 OSBORNE et al. (1937) 073
6.3097 623.226900000 OSBORNE et al. (1937) 074
6.31248 623.226900000 OSBORNE et al. (1937) 075
6.30515 623.226900000 OSBORNE et al. (1937) 076
6.31059 623.226900000 OSBORNE et al. (1937) 077
6.30604 623.226900000 OSBORNE et al. (1937) 078
6.29849 623.226900000 OSBORNE et al. (1937) 079
6.30421 623.226900000 OSBORNE et al. (1937) 080
6.31037 623.226900000 OSBORNE et al. (1937) 081
6.30471 623.226900000 OSBORNE et al. (1937) 082
6.3092 623.226900000 OSBORNE et al. (1937) 083
6.31043 623.226900000 OSBORNE et al. (1937) 084
6.30376 623.226900000 OSBORNE et al. (1937) 085
6.30887 623.226900000 OSBORNE et al. (1937) 086
6.30887 623.226900000 OSBORNE et al. (1937) 087
6.30965 623.226900000 OSBORNE et al. (1937) 088
6.31198 623.226900000 OSBORNE et al. (1937) 089
