 H2OPV.txt
psigma / MPa T / K   Author
0.000611657 273.1600 GUILDNER et al. (1976) 001
21.050200000 643.1740 HANAFUSA et al. (1984) 001
21.799700000 646.1066 HANAFUSA et al. (1984) 002
21.930300000 646.6075 HANAFUSA et al. (1984) 003
21.930900000 646.6075 HANAFUSA et al. (1984) 004
21.997400000 646.8575 HANAFUSA et al. (1984) 005
21.671500000 645.6067 HANAFUSA et al. (1984) 006
21.670500000 645.6067 HANAFUSA et al. (1984) 007
21.864500000 646.3566 HANAFUSA et al. (1984) 008
0.475700000 423.1149 KELL et al. (1985) 001
0.475600000 423.1149 KELL et al. (1985) 002
0.475500000 423.1149 KELL et al. (1985) 003
0.475300000 423.1149 KELL et al. (1985) 004
0.475700000 423.1149 KELL et al. (1985) 005
0.891700000 448.1120 KELL et al. (1985) 006
0.891700000 448.1120 KELL et al. (1985) 007
1.553600000 473.1102 KELL et al. (1985) 008
1.553500000 473.1102 KELL et al. (1985) 009
2.547500000 498.1096 KELL et al. (1985) 010
2.547500000 498.1096 KELL et al. (1985) 011
3.974100000 523.1097 KELL et al. (1985) 012
3.973300000 523.1097 KELL et al. (1985) 013
5.941300000 548.1101 KELL et al. (1985) 014
5.941300000 548.1101 KELL et al. (1985) 015
8.582100000 573.1105 KELL et al. (1985) 016
8.582300000 573.1105 KELL et al. (1985) 017
12.044800000 598.1102 KELL et al. (1985) 018
12.044300000 598.1102 KELL et al. (1985) 019
16.522000000 623.1090 KELL et al. (1985) 020
16.522000000 623.1090 KELL et al. (1985) 021
16.519600000 623.1090 KELL et al. (1985) 022
0.143253290 383.1197 OSBORNE et al. (1933) 001
0.143364740 383.1287 OSBORNE et al. (1933) 002
0.143334350 383.1337 OSBORNE et al. (1933) 003
0.143354610 383.1367 OSBORNE et al. (1933) 004
0.143395140 383.1437 OSBORNE et al. (1933) 005
0.143435670 383.1447 OSBORNE et al. (1933) 006
0.143334350 383.1527 OSBORNE et al. (1933) 007
0.143435670 383.1527 OSBORNE et al. (1933) 008
0.198232230 393.0835 OSBORNE et al. (1933) 009
0.198384220 393.1026 OSBORNE et al. (1933) 010
0.198465280 393.1086 OSBORNE et al. (1933) 011
0.198495680 393.1096 OSBORNE et al. (1933) 012
0.198556470 393.1156 OSBORNE et al. (1933) 013
0.198465280 393.1185 OSBORNE et al. (1933) 014
0.198637530 393.1315 OSBORNE et al. (1933) 015
0.198678060 393.1375 OSBORNE et al. (1933) 016
0.269767680 403.0948 OSBORNE et al. (1933) 017
0.269879140 403.0948 OSBORNE et al. (1933) 018
0.269889270 403.0948 OSBORNE et al. (1933) 019
0.269889270 403.1007 OSBORNE et al. (1933) 020
0.270020990 403.1057 OSBORNE et al. (1933) 021
0.270051390 403.1197 OSBORNE et al. (1933) 022
0.269939930 403.1257 OSBORNE et al. (1933) 023
0.270183110 403.1277 OSBORNE et al. (1933) 024
0.270132450 403.1297 OSBORNE et al. (1933) 025
0.270233780 403.1327 OSBORNE et al. (1933) 026
0.269970330 403.1377 OSBORNE et al. (1933) 027
0.270091920 403.1437 OSBORNE et al. (1933) 028
0.270395900 403.1527 OSBORNE et al. (1933) 029
0.270456690 403.1757 OSBORNE et al. (1933) 030
0.361061510 413.1003 OSBORNE et al. (1933) 031
0.361264160 413.1073 OSBORNE et al. (1933) 032
0.360858860 413.1123 OSBORNE et al. (1933) 033
0.360970310 413.1153 OSBORNE et al. (1933) 034
0.361254020 413.1163 OSBORNE et al. (1933) 035
0.361345220 413.1193 OSBORNE et al. (1933) 036
0.361375610 413.1363 OSBORNE et al. (1933) 037
0.361476940 413.1373 OSBORNE et al. (1933) 038
0.361669460 413.1533 OSBORNE et al. (1933) 039
0.361547870 413.1553 OSBORNE et al. (1933) 040
0.365043580 413.5025 OSBORNE et al. (1933) 041
0.365053710 413.5035 OSBORNE et al. (1933) 042
0.365053710 413.5035 OSBORNE et al. (1933) 043
0.474089540 423.0032 OSBORNE et al. (1933) 044
0.474221270 423.0142 OSBORNE et al. (1933) 045
0.474697490 423.0462 OSBORNE et al. (1933) 046
0.475437170 423.1193 OSBORNE et al. (1933) 047
0.475933660 423.1203 OSBORNE et al. (1933) 048
0.475923530 423.1333 OSBORNE et al. (1933) 049
0.475862730 423.1393 OSBORNE et al. (1933) 050
0.476166710 423.1393 OSBORNE et al. (1933) 051
0.475862730 423.1393 OSBORNE et al. (1933) 052
0.476166710 423.1393 OSBORNE et al. (1933) 053
0.476420020 423.1603 OSBORNE et al. (1933) 054
0.476409890 423.1673 OSBORNE et al. (1933) 055
0.476399750 423.1703 OSBORNE et al. (1933) 056
0.617636670 433.1035 OSBORNE et al. (1933) 057
0.617575880 433.1165 OSBORNE et al. (1933) 058
0.617798790 433.1285 OSBORNE et al. (1933) 059
0.618163560 433.1355 OSBORNE et al. (1933) 060
0.618041970 433.1375 OSBORNE et al. (1933) 061
0.618396610 433.1545 OSBORNE et al. (1933) 062
0.618315550 433.1545 OSBORNE et al. (1933) 063
0.618447270 433.1605 OSBORNE et al. (1933) 064
0.618366210 433.1655 OSBORNE et al. (1933) 065
0.619105880 433.2055 OSBORNE et al. (1933) 066
0.619116020 433.2065 OSBORNE et al. (1933) 067
0.619116020 433.2065 OSBORNE et al. (1933) 068
0.791834610 443.1199 OSBORNE et al. (1933) 069
0.791753550 443.1229 OSBORNE et al. (1933) 070
0.791946070 443.1329 OSBORNE et al. (1933) 071
0.791753550 443.1339 OSBORNE et al. (1933) 072
0.792179120 443.1349 OSBORNE et al. (1933) 073
0.791824480 443.1349 OSBORNE et al. (1933) 074
0.792179120 443.1359 OSBORNE et al. (1933) 075
0.792179120 443.1359 OSBORNE et al. (1933) 076
0.792037260 443.1379 OSBORNE et al. (1933) 077
0.792179120 443.1379 OSBORNE et al. (1933) 078
0.792098060 443.1439 OSBORNE et al. (1933) 079
0.792523620 443.1558 OSBORNE et al. (1933) 080
0.792189250 443.1578 OSBORNE et al. (1933) 081
1.001972530 453.1144 OSBORNE et al. (1933) 082
1.002367700 453.1274 OSBORNE et al. (1933) 083
1.002641270 453.1414 OSBORNE et al. (1933) 084
1.002286640 453.1444 OSBORNE et al. (1933) 085
1.002773000 453.1464 OSBORNE et al. (1933) 086
1.003016180 453.1594 OSBORNE et al. (1933) 087
1.003228960 453.1674 OSBORNE et al. (1933) 088
1.003289750 453.1674 OSBORNE et al. (1933) 089
1.003350550 453.1694 OSBORNE et al. (1933) 090
1.255122910 463.1471 OSBORNE et al. (1933) 091
1.255548470 463.1501 OSBORNE et al. (1933) 092
1.255457280 463.1511 OSBORNE et al. (1933) 093
1.255467410 463.1511 OSBORNE et al. (1933) 094
1.255315430 463.1541 OSBORNE et al. (1933) 095
1.255396490 463.1591 OSBORNE et al. (1933) 096
1.255497810 463.1591 OSBORNE et al. (1933) 097
1.255497810 463.1591 OSBORNE et al. (1933) 098
1.255599140 463.1611 OSBORNE et al. (1933) 099
1.545510230 472.8528 OSBORNE et al. (1933) 100
1.545560890 472.8648 OSBORNE et al. (1933) 101
1.552947480 473.0878 OSBORNE et al. (1933) 102
1.553636490 473.1098 OSBORNE et al. (1933) 103
1.554274840 473.1288 OSBORNE et al. (1933) 104
1.554730800 473.1398 OSBORNE et al. (1933) 105
1.554761200 473.1428 OSBORNE et al. (1933) 106
1.554963850 473.1488 OSBORNE et al. (1933) 107
1.556108820 473.1898 OSBORNE et al. (1933) 108
1.559594400 473.2939 OSBORNE et al. (1933) 109
1.906257620 483.1136 OSBORNE et al. (1933) 110
1.907392460 483.1356 OSBORNE et al. (1933) 111
1.907068220 483.1356 OSBORNE et al. (1933) 112
1.907503920 483.1476 OSBORNE et al. (1933) 113
1.907716700 483.1506 OSBORNE et al. (1933) 114
1.908091600 483.1626 OSBORNE et al. (1933) 115
1.908892070 483.1826 OSBORNE et al. (1933) 116
1.909206180 483.1866 OSBORNE et al. (1933) 117
2.318994880 493.1373 OSBORNE et al. (1933) 118
2.319815610 493.1533 OSBORNE et al. (1933) 119
2.319937200 493.1563 OSBORNE et al. (1933) 120
2.319937200 493.1583 OSBORNE et al. (1933) 121
2.319967600 493.1593 OSBORNE et al. (1933) 122
2.319967600 493.1623 OSBORNE et al. (1933) 123
2.319937200 493.1633 OSBORNE et al. (1933) 124
2.320403300 493.1733 OSBORNE et al. (1933) 125
2.795384500 503.1149 OSBORNE et al. (1933) 126
2.797127290 503.1499 OSBORNE et al. (1933) 127
2.797735240 503.1629 OSBORNE et al. (1933) 128
2.798191200 503.1699 OSBORNE et al. (1933) 129
2.798150670 503.1709 OSBORNE et al. (1933) 130
2.797958150 503.1739 OSBORNE et al. (1933) 131
2.798677560 503.1789 OSBORNE et al. (1933) 132
2.798464780 503.1829 OSBORNE et al. (1933) 133
3.345629910 513.1224 OSBORNE et al. (1933) 134
3.346835680 513.1434 OSBORNE et al. (1933) 135
3.349297880 513.1814 OSBORNE et al. (1933) 136
3.348527810 513.1824 OSBORNE et al. (1933) 137
3.348781120 513.1884 OSBORNE et al. (1933) 138
3.349551190 513.1934 OSBORNE et al. (1933) 139
3.350878550 513.2275 OSBORNE et al. (1933) 140
3.966630570 523.0027 OSBORNE et al. (1933) 141
3.973439610 523.1037 OSBORNE et al. (1933) 142
3.975385050 523.1387 OSBORNE et al. (1933) 143
3.976023400 523.1477 OSBORNE et al. (1933) 144
3.976975850 523.1557 OSBORNE et al. (1933) 145
3.978627450 523.1757 OSBORNE et al. (1933) 146
3.979326590 523.1967 OSBORNE et al. (1933) 147
3.979326590 523.2007 OSBORNE et al. (1933) 148
3.986135630 523.3018 OSBORNE et al. (1933) 149
3.989773200 523.3568 OSBORNE et al. (1933) 150
4.692218900 533.1437 OSBORNE et al. (1933) 151
4.693374000 533.1598 OSBORNE et al. (1933) 152
4.693070030 533.1648 OSBORNE et al. (1933) 153
4.694488580 533.1708 OSBORNE et al. (1933) 154
4.693819830 533.1718 OSBORNE et al. (1933) 155
4.694255530 533.1728 OSBORNE et al. (1933) 156
4.695066130 533.1788 OSBORNE et al. (1933) 157
4.694650700 533.1838 OSBORNE et al. (1933) 158
4.694731760 533.1848 OSBORNE et al. (1933) 159
5.503345790 543.1516 OSBORNE et al. (1933) 160
5.503903070 543.1626 OSBORNE et al. (1933) 161
5.504429960 543.1666 OSBORNE et al. (1933) 162
5.504845400 543.1666 OSBORNE et al. (1933) 163
5.505037910 543.1706 OSBORNE et al. (1933) 164
5.505017650 543.1706 OSBORNE et al. (1933) 165
5.505007520 543.1716 OSBORNE et al. (1933) 166
5.505483740 543.1726 OSBORNE et al. (1933) 167
5.505169640 543.1766 OSBORNE et al. (1933) 168
5.505362150 543.1786 OSBORNE et al. (1933) 169
5.505240560 543.1786 OSBORNE et al. (1933) 170
5.506547660 543.1946 OSBORNE et al. (1933) 171
5.507348120 543.2066 OSBORNE et al. (1933) 172
5.945953650 548.1409 OSBORNE et al. (1933) 173
5.946328550 548.1459 OSBORNE et al. (1933) 174
5.948517170 548.1679 OSBORNE et al. (1933) 175
5.949114990 548.1759 OSBORNE et al. (1933) 176
