SN	X1	X2	y
1	-5.000000000000000000e+00	-5.000000000000000000e+00	6.420833333333333030e+03
2	-5.000000000000000000e+00	-4.900000000000000355e+00	6.230213733333333948e+03
3	-5.000000000000000000e+00	-4.799999999999999822e+00	6.051039733333333061e+03
4	-5.000000000000000000e+00	-4.700000000000000178e+00	5.882845733333333555e+03
5	-5.000000000000000000e+00	-4.599999999999999645e+00	5.725175733333332573e+03
6	-5.000000000000000000e+00	-4.500000000000000000e+00	5.577583333333333030e+03
7	-5.000000000000000000e+00	-4.400000000000000355e+00	5.439631733333333614e+03
8	-5.000000000000000000e+00	-4.299999999999999822e+00	5.310893733333332420e+03
9	-5.000000000000000000e+00	-4.200000000000000178e+00	5.190951733333333323e+03
10	-5.000000000000000000e+00	-4.099999999999999645e+00	5.079397733333333235e+03
11	-5.000000000000000000e+00	-4.000000000000000000e+00	4.975833333333333030e+03
12	-5.000000000000000000e+00	-3.899999999999999911e+00	4.879869733333332988e+03
13	-5.000000000000000000e+00	-3.799999999999999822e+00	4.791127733333332799e+03
14	-5.000000000000000000e+00	-3.700000000000000178e+00	4.709237733333333381e+03
15	-5.000000000000000000e+00	-3.599999999999999645e+00	4.633839733333332333e+03
16	-5.000000000000000000e+00	-3.500000000000000000e+00	4.564583333333333030e+03
17	-5.000000000000000000e+00	-3.399999999999999911e+00	4.501127733333332799e+03
18	-5.000000000000000000e+00	-3.299999999999999822e+00	4.443141733333332922e+03
19	-5.000000000000000000e+00	-3.200000000000000178e+00	4.390303733333333184e+03
20	-5.000000000000000000e+00	-3.099999999999999645e+00	4.342301733333332777e+03
21	-5.000000000000000000e+00	-3.000000000000000000e+00	4.298833333333333030e+03
22	-5.000000000000000000e+00	-2.899999999999999911e+00	4.259605733333332864e+03
23	-5.000000000000000000e+00	-2.799999999999999822e+00	4.224335733333332428e+03
24	-5.000000000000000000e+00	-2.699999999999999734e+00	4.192749733333333097e+03
25	-5.000000000000000000e+00	-2.599999999999999645e+00	4.164583733333332930e+03
26	-5.000000000000000000e+00	-2.500000000000000000e+00	4.139583333333333030e+03
27	-5.000000000000000000e+00	-2.399999999999999911e+00	4.117503733333333003e+03
28	-5.000000000000000000e+00	-2.299999999999999822e+00	4.098109733333332770e+03
29	-5.000000000000000000e+00	-2.199999999999999734e+00	4.081175733333333028e+03
30	-5.000000000000000000e+00	-2.099999999999999645e+00	4.066485733333332973e+03
31	-5.000000000000000000e+00	-2.000000000000000000e+00	4.053833333333333030e+03
32	-5.000000000000000000e+00	-1.899999999999999911e+00	4.043021733333333032e+03
33	-5.000000000000000000e+00	-1.799999999999999822e+00	4.033863733333333130e+03
34	-5.000000000000000000e+00	-1.699999999999999734e+00	4.026181733333332886e+03
35	-5.000000000000000000e+00	-1.599999999999999645e+00	4.019807733333333090e+03
36	-5.000000000000000000e+00	-1.500000000000000000e+00	4.014583333333333030e+03
37	-5.000000000000000000e+00	-1.399999999999999911e+00	4.010359733333332770e+03
38	-5.000000000000000000e+00	-1.299999999999999822e+00	4.006997733333332690e+03
39	-5.000000000000000000e+00	-1.199999999999999734e+00	4.004367733333332581e+03
40	-5.000000000000000000e+00	-1.099999999999999645e+00	4.002349733333333006e+03
41	-5.000000000000000000e+00	-1.000000000000000000e+00	4.000833333333333030e+03
42	-5.000000000000000000e+00	-8.999999999999994671e-01	3.999717733333333399e+03
43	-5.000000000000000000e+00	-7.999999999999998224e-01	3.998911733333332904e+03
44	-5.000000000000000000e+00	-7.000000000000001776e-01	3.998333733333332930e+03
45	-5.000000000000000000e+00	-5.999999999999996447e-01	3.997911733333332904e+03
46	-5.000000000000000000e+00	-5.000000000000000000e-01	3.997583333333333030e+03
47	-5.000000000000000000e+00	-3.999999999999994671e-01	3.997295733333333374e+03
48	-5.000000000000000000e+00	-2.999999999999998224e-01	3.997005733333332955e+03
49	-5.000000000000000000e+00	-1.999999999999992895e-01	3.996679733333333388e+03
50	-5.000000000000000000e+00	-9.999999999999964473e-02	3.996293733333332966e+03
51	-5.000000000000000000e+00	0.000000000000000000e+00	3.995833333333333030e+03
52	-5.000000000000000000e+00	1.000000000000005329e-01	3.995293733333332966e+03
