time,ERCOT_WEST_2022
1,60.3951
2,32.716
3,25.2812
4,22.2177
5,16.3085
6,12.0084
7,12.9724
8,11.2342
9,8.6272
10,-0.1074
11,-1.2901
12,-1.609
13,-0.5733
14,0.0328
15,0.6424
16,0.6214
17,-0.1383
18,-0.9863
19,-3.4925
20,-4.5988
21,-4.806
22,-3.5958
23,-1.1344
24,6.2652
25,6.1908
26,6.7003
27,7.9564
28,7.8857
29,12.9026
30,19.0526
31,20.4857
32,23.4109
33,22.6415
34,21.2881
35,25.539
36,26.906
37,22.9494
38,22.3803
39,20.6482
40,20.1909
41,23.3335
42,37.0426
43,38.5499
44,38.4058
45,37.9916
46,37.0957
47,34.3361
48,34.8462
49,34.9915
50,34.9337
51,35.828
52,36.3639
53,37.0307
54,37.5838
55,53.219
56,40.4569
57,31.1486
58,25.6517
59,26.1413
60,23.3607
61,22.5913
62,20.8443
63,18.2873
64,17.5025
65,21.4442
66,26.9757
67,24.556
68,22.6603
69,-2.243
70,-4.9154
71,-5.1614
72,-5.7644
73,-5.3467
74,-5.219
75,-5.0176
76,-4.9049
77,-4.7991
78,-4.643
79,-2.1184
80,-3.53
81,-4.5893
82,-2.613
83,-0.8993
84,-1.0435
85,-1.3622
86,-1.0748
87,-0.8215
88,-0.2012
89,11.611
90,32.7948
91,27.0044
92,22.4747
93,22.2952
94,21.7046
95,20.5471
96,21.0098
97,22.8335
98,22.3852
99,22.1233
100,19.9061
101,19.9782
102,22.0675
103,22.6412
104,22.7402
105,21.5406
106,14.2687
107,21.0939
108,22.7372
109,24.7638
110,25.0306
111,23.4992
112,22.8969
113,23.0656
114,33.3633
115,32.4237
116,28.9341
117,24.5096
118,22.7789
119,21.6968
120,19.1184
121,21.5173
122,20.3274
123,20.4612
124,22.2891
125,17.4462
126,20.8209
127,15.8337
128,1.0841
129,-0.445
130,-1.0103
131,-0.1727
132,0.0234
133,16.2136
134,22.3824
135,22.4572
136,22.4651
137,23.7645
138,52.3001
139,40.3058
140,42.2414
141,39.0008
142,37.7886
143,32.2235
144,36.5232
145,36.9874
146,36.9931
147,38.0725
148,43.3085
149,41.6042
150,44.2791
151,347.6466
152,177.0015
153,53.5144
154,41.8437
155,43.8823
156,38.7623
157,36.9183
158,34.9818
159,15.7904
160,18.5876
161,33.1981
