temperature,pressure_MEA_raoult,total_pressure,CO2_pressure,CO2_loading_GC,CO2_loading_BaCO3
0,0.54,20000,19954,1.324,1.331
0,0.54,15000,14967,,1.291
0,0.54,10000,9979,1.262,1.32
0,0.54,6000,5989,,1.221
0,0.54,3500,3495,,1.14
0,0.54,3470,3468,,1.132
0,0.54,1000,999,,1.022
0,0.54,600,599,,0.97
0,0.54,300,299,,0.902
0,0.54,280,68.4,0.772,
0,0.54,200,13.2,0.646,
0,0.54,200,1.76,0.604,
0,0.54,200,0.253,0.55,
0,0.54,200,0.0236,0.495,
0,0.54,200,0.00595,0.459,
0,0.54,200,0.0012,0.4,
25,2.8,20000,19936,,1.247
25,2.8,15000,14955,,1.209
25,2.8,10000,9973,,1.17
25,2.8,6440,6425,1.109,1.104
25,2.8,6410,6402,1.102,1.1
25,2.8,3000,2996,1.039,1.037
25,2.8,1000,996,0.923,0.938
25,2.8,600,596,0.844,0.855
25,2.8,300,297,0.809,0.815
25,2.8,100,97.2,0.694,0.699
25,2.8,300,55.1,0.648,0.678
25,2.8,210,11.8,0.583,0.588
25,2.8,200,2.8,0.54,0.532
25,2.8,200,0.392,0.494,
25,2.8,200,0.06,0.439,
25,2.8,300,0.00927,0.323,
25,2.8,200,0.00213,0.211,
40,6.6,20000,19914,1.18,1.151
40,6.6,15000,14945,1.132,1.108
40,6.6,10000,9969,1.097,1.073
40,6.6,6000,5986,1.049,1.023
40,6.6,3000,2992,0.965,0.929
40,6.6,1000,993,0.844,0.808
40,6.6,600,593,0.794,0.778
40,6.6,300,293,0.709,0.711
40,6.6,110,103,0.646,0.638
40,6.6,210,36.1,0.609,
40,6.6,230,8.09,0.557,
40,6.6,220,2.57,0.513,
40,6.6,210,0.604,0.461,0.486
40,6.6,300,0.0677,0.365,
40,6.6,200,0.00896,0.203,
40,6.6,200,0.00147,0.0888,
60,18,20000,19893,1.109,1.082
60,18,15000,14931,1.062,1.055
60,18,10000,9959,1.027,1.001
60,18,6000,5968,0.942,0.948
60,18,3000,2977,0.88,0.878
60,18,1000,982,0.749,0.736
60,18,600,582,0.701,0.715
60,18,300,282,0.642,0.694
60,18,100,82,0.575,0.583
60,18,250,34,0.565,0.557
60,18,250,11,0.504,
60,18,200,2.01,0.438,
60,18,300,0.528,0.389,
60,18,220,0.0579,0.206,
60,18,260,0.0193,0.119,
60,18,220,0.00428,0.0564,
80,42,20000,19862,,1.033
80,42,15000,14902,0.998,1.006
80,42,10000,9925,0.953,0.962
80,42,6000,5943,0.875,0.901
80,42,3000,2951,0.797,0.808
80,42,1000,958,0.68,0.698
80,42,600,558,,0.64
80,42,500,235,0.576,0.581
80,42,100,56,0.517,
80,42,200,16,0.46,
80,42,300,2.67,0.348,
80,42,250,0.278,0.187,
80,42,250,0.0992,0.118,
80,42,250,0.0465,0.0781,
80,42,280,0.00484,0.0236,
80,42,250,0.00296,0.0174,
100,91,20000,19812,,0.941
100,91,15000,14842,,0.914
100,91,10000,9871,,0.856
100,91,6000,5891,,0.81
100,91,3000,2899,,0.705
100,91,1000,909,0.605,0.622
100,91,600,509,0.571,
100,91,700,376,0.589,
100,91,200,109,0.481,
100,91,160,69,0.477,
100,91,130,39,0.422,
100,91,110,19,0.381,
100,91,300,1.43,0.188,
100,91,300,0.136,0.0566,
100,91,300,0.00724,0.0117,
120,178,18000,17723,,0.863
120,178,15000,14741,,0.829
120,178,10000,9770,0.78,0.783
120,178,6000,5809,0.719,0.722
120,178,3000,2804,0.644,0.634
120,178,1000,822,0.536,
120,178,600,422,0.473,
120,178,400,222,0.444,
120,178,300,122,0.403,0.42
120,178,350,46.8,0.349,
120,178,300,2.29,0.119,
120,178,400,0.0984,0.0247,
120,178,350,0.0221,0.0112,
120,178,250,0.00202,0.00333,
150,429,17000,16441,,0.755
150,429,12000,11504,,0.727
150,429,9000,8525,0.651,0.65
150,429,5000,4544,,0.583
150,429,2400,570,0.484,
150,429,1000,560,0.388,
150,429,850,420,0.358,
150,429,730,123,0.301,
150,429,630,34.2,0.153,
150,429,600,2.63,0.0509,
150,429,600,0.184,0.0134,
150,429,520,0.0843,0.00992,
150,429,650,0.0239,0.00496,
150,429,600,0.00477,0.00199,
