temperature,mole_frac_MEA,density_mass,vol_mol_apparent,heat_capacity_mass,heat_capacity_mol_apparent
10,0,0.9997,NaN,4.1922,NaN
10,0.00242,1.00286,58.61,4.1675,178.4
10,0.00367,1.00302,58.64,4.1626,180.1
10,0.00449,1.00316,58.48,4.1593,180.6
10,0.01255,1.00154,58.39,4.1365,173.7
10,0.01908,1.00248,58.36,4.1079,172.8
10,0.06878,1.01006,57.97,3.8912,164.3
10,0.09592,1.01411,57.82,3.784,161.8
10,0.13186,1.01878,57.74,NaN,NaN
10,0.14241,1.02032,57.67,NaN,NaN
10,0.19593,1.02655,57.57,3.4643,157.8
10,0.24599,1.03065,57.61,3.342,157.2
10,0.34934,1.03542,57.84,3.1591,158.3
10,0.47253,1.03633,58.23,3.0303,161.7
10,0.50112,1.03624,58.32,2.994,161.4
10,0.53966,1.03576,58.44,2.9535,161.4
10,0.58879,1.03483,58.6,2.9349,163.5
10,0.68657,1.03375,58.75,2.916,165
10,0.69358,1.03225,58.93,2.8988,166.2
10,0.78295,1.02963,59.18,2.8768,169.2
10,0.84269,1.02797,59.33,2.8499,169.6
10,0.91793,1.02664,59.46,2.8261,170.4
10,1,1.02632,59.52,2.7562,168.4
25,0,0.99704,NaN,4.1796,NaN
25,0.00138,0.99989,59.33,NaN,NaN
25,0.00242,1.00002,59.15,NaN,NaN
25,0.00367,1.00011,59.38,4.1533,193.4
25,0.00449,1.00021,59.26,4.1503,192.3
25,0.01255,0.99839,59.08,NaN,NaN
25,0.01908,0.99914,59.06,4.1098,186.6
25,0.06878,1.00524,58.74,3.9385,181.8
25,0.09592,1.00853,58.61,3.8493,179.1
25,0.19593,1.01858,58.39,3.5787,174.2
25,0.2889,1.02399,58.48,3.3667,169.6
25,0.39459,1.02612,58.74,3.1867,167.6
25,0.50112,1.02564,59.05,3.1052,170.4
25,0.50547,1.02541,59.08,NaN,NaN
25,0.51143,1.0253,59.1,NaN,NaN
25,0.53966,1.02478,59.19,NaN,NaN
25,0.58879,1.02371,59.34,3.0479,171.9
25,0.63657,1.02256,59.48,NaN,NaN
25,0.69358,1.02095,59.64,NaN,NaN
25,0.74584,1.01924,59.8,2.9653,173.7
25,0.79125,1,59.91,NaN,NaN
25,0.88072,1.01551,60.11,NaN,NaN
25,0.89221,1.01244,60.13,NaN,NaN
25,0.95393,1.01346,60.26,NaN,NaN
25,0.99695,1.01239,60.34,2.8388,172.7
25,1,1.01239,60.34,2.8332,173.1
40,0,0.99222,NaN,4.1786,NaN
40,0.00118,0.99501,60.51,NaN,NaN
40,0.00191,0.99507,60.29,4.1585,198.3
40,0.00317,NaN,NaN,4.1546,197.6
40,0.00396,0.99523,60.1,4.153,201.8
40,0.02973,0.99513,59.65,4.0902,197.8
40,0.07265,0.99943,59.45,3.9699,194.5
40,0.0956,1.00167,59.36,3.9075,192.5
40,0.14919,1.00642,59.23,3.7801,190
40,0.19357,1.00963,59.2,3.6785,187.2
40,0.24494,1.01238,59.22,3.5755,184.9
40,0.29264,1.01404,59.29,3.5216,186.5
40,0.34041,1.01495,59.4,3.4393,184.3
40,0.34397,1.01498,59.41,3.4461,185.3
40,0.54217,1.01312,59.98,3.2075,181.2
40,0.69452,1.00891,60.41,3.1085,181.4
40,0.78398,1.0058,60.66,3.047,180.5
40,0.88999,1.00259,60.88,3.0059,181
40,0.99325,0.99981,61.1,2.9608,180.9
40,1,NaN,61.08,2.9552,180.5
