SN	X	Y
1	0.000000000000000000e+00	1.000000000000000000e+00
2	2.000000000000000042e-03	1.000178885438199883e+00
3	4.000000000000000083e-03	1.000505964425626892e+00
4	6.000000000000000125e-03	1.000929516003089770e+00
5	8.000000000000000167e-03	1.001431083505599950e+00
6	1.000000000000000021e-02	1.002000000000000002e+00
7	1.200000000000000025e-02	1.002629068276024826e+00
8	1.400000000000000029e-02	1.003313004678535680e+00
9	1.600000000000000033e-02	1.004047715405015584e+00
10	1.800000000000000211e-02	1.004829906831399500e+00
11	2.000000000000000042e-02	1.005656854249492360e+00
12	2.199999999999999872e-02	1.006526254668644205e+00
13	2.400000000000000050e-02	1.007436128024718158e+00
14	2.600000000000000228e-02	1.008384748058230418e+00
15	2.800000000000000058e-02	1.009370592297181624e+00
16	2.999999999999999889e-02	1.010392304845413314e+00
17	3.200000000000000067e-02	1.011448668044798938e+00
18	3.400000000000000244e-02	1.012538580461918247e+00
19	3.600000000000000422e-02	1.013661039491927429e+00
20	3.799999999999999906e-02	1.014815127404109729e+00
21	4.000000000000000083e-02	1.016000000000000014e+00
22	4.200000000000000261e-02	1.017214877286812147e+00
23	4.399999999999999745e-02	1.018459035727794726e+00
24	4.599999999999999922e-02	1.019731801742365107e+00
25	4.800000000000000100e-02	1.021032546208198388e+00
26	5.000000000000000278e-02	1.022360679774998005e+00
27	5.200000000000000455e-02	1.023715648842062009e+00
28	5.399999999999999939e-02	1.025096932083424006e+00
29	5.600000000000000117e-02	1.026504037428286331e+00
30	5.800000000000000294e-02	1.027936499422798189e+00
31	5.999999999999999778e-02	1.029393876913398120e+00
32	6.199999999999999956e-02	1.030875751003011986e+00
33	6.400000000000000133e-02	1.032381723240124227e+00
34	6.600000000000000311e-02	1.033911414007675944e+00
35	6.800000000000000488e-02	1.035464461084302457e+00
36	7.000000000000000666e-02	1.037040518354904295e+00
37	7.200000000000000844e-02	1.038639254651196442e+00
38	7.399999999999999634e-02	1.040260352705856928e+00
39	7.599999999999999811e-02	1.041903508206354356e+00
40	7.799999999999999989e-02	1.043568428936558989e+00
41	8.000000000000000167e-02	1.045254833995939103e+00
42	8.200000000000000344e-02	1.046962453087546541e+00
43	8.400000000000000522e-02	1.048691025867196425e+00
44	8.600000000000000699e-02	1.050440301347236316e+00
45	8.799999999999999489e-02	1.052210037349153415e+00
46	8.999999999999999667e-02	1.054000000000000048e+00
47	9.199999999999999845e-02	1.055809963268219409e+00
48	9.400000000000000022e-02	1.057639708535002221e+00
49	9.600000000000000200e-02	1.059489024197745932e+00
50	9.800000000000000377e-02	1.061357705302594212e+00
51	1.000000000000000056e-01	1.063245553203367555e+00
52	1.020000000000000073e-01	1.065152375244498906e+00
53	1.040000000000000091e-01	1.067077984465844009e+00
54	1.059999999999999970e-01	1.069022199327462674e+00
55	1.079999999999999988e-01	1.070984843452669644e+00
56	1.100000000000000006e-01	1.072965745387818748e+00
57	1.120000000000000023e-01	1.074964738377453211e+00
58	1.140000000000000041e-01	1.076981660153571552e+00
59	1.160000000000000059e-01	1.079016352737898421e+00
60	1.180000000000000077e-01	1.081068662256139401e+00
61	1.199999999999999956e-01	1.083138438763306066e+00
62	1.219999999999999973e-01	1.085225536079276187e+00
63	1.239999999999999991e-01	1.087329811633828580e+00
64	1.260000000000000009e-01	1.089451126320466257e+00
